ID,Latitude,Longitude
Node_0_0,39.117,161.561
Node_0_1,39.117,161.565
Node_0_2,39.117,161.569
Node_0_3,39.117,161.573
Node_1_0,39.121,161.561
Node_1_1,39.121,161.565
Node_1_2,39.121,161.569
Node_1_3,39.121,161.573
Node_2_0,39.125,161.561
Node_2_1,39.125,161.565
Node_2_2,39.125,161.569
Node_2_3,39.125,161.573
Node_3_0,39.129,161.561
Node_3_1,39.129,161.565
Node_3_2,39.129,161.569
Node_3_3,39.129,161.573
Node_4_0,39.133,161.561
Node_4_1,39.133,161.565
Node_4_2,39.133,161.569
Node_4_3,39.133,161.573
