name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,25248785,signal,116.3889280,39.9059990,,,,,
,2,9063921183,,116.3894460,39.9060160,,,,,
,3,25248786,signal,116.3926310,39.9061130,,,,,
,4,9063921186,,116.3930800,39.9061260,,,,,
,5,25248790,signal,116.3902310,39.8987640,,,,,
,6,9298159121,,116.3898160,39.8987500,,,,,
,7,25248791,signal,116.3937070,39.8989120,,,,,
,8,9298151116,,116.3934590,39.8988800,,,,,
,9,25585055,,116.3855920,39.9019940,,,,,
,10,13570555123,,116.3856730,39.9019720,,,,,
,11,5098449244,,116.3855900,39.9021680,,,,,
,12,6448366274,,116.3854630,39.9019010,,,,,
,13,25585061,,116.3862840,39.9016950,,,,,
,14,10197703875,,116.3865230,39.9015680,,,,,
,15,5098449241,,116.3858900,39.9018890,,,,,
,16,25585063,,116.3867190,39.9014880,,,,,
,17,6448366277,,116.3868880,39.9014530,,,,,
,18,6448366276,,116.3865420,39.9015580,,,,,
,19,25585067,,116.3853950,39.9017930,,,,,
,20,13570555121,,116.3853920,39.9017620,,,,,
,21,13570555120,,116.3854010,39.9018220,,,,,
,22,25585082,signal,116.3858070,39.8989810,,,,,
,23,9378036229,,116.3857620,39.8989800,,,,,
,24,25585083,,116.3867920,39.8990030,,,,,
,25,1414035094,,116.3866400,39.8991280,,,,,
,26,25585084,,116.3872480,39.8989840,,,,,
,27,25585092,,116.3818430,39.8988720,,,,,
,28,1414035092,,116.3818400,39.8990000,,,,,
,29,2099138477,,116.3801880,39.8988180,,,,,
,30,25585130,,116.3810020,39.9029590,,,,,
,31,13568912119,,116.3813460,39.9029670,,,,,
,32,13568373629,,116.3806310,39.9029560,,,,,
,33,25585132,signal,116.3816930,39.9029780,,,,,
,34,25585135,,116.3816140,39.9024290,,,,,
,35,13568915135,,116.3816330,39.9029760,,,,,
,36,25585155,,116.3817670,39.9035480,,,,,
,37,25585139,,116.3815900,39.9022260,,,,,
,38,13568915156,,116.3815800,39.9021370,,,,,
,39,25585141,signal,116.3817340,39.9006670,,,,,
,40,13568915161,,116.3817180,39.9007070,,,,,
,41,13568915164,,116.3817460,39.9006130,,,,,
,42,13570555110,,116.3818560,39.9006710,,,,,
,43,733992879,,116.3818310,39.9039990,,,,,
,44,25585157,,116.3819100,39.9045780,,,,,
,45,13568912194,,116.3819270,39.9047160,,,,,
,46,13568912192,,116.3818720,39.9042900,,,,,
,47,26535390,signal,116.4004160,39.9068640,,,,,
,48,1446052227,,116.4004300,39.9072580,,,,,
,49,6095123387,,116.4004140,39.9068090,,,,,
,50,26535594,signal,116.4115080,39.9067700,,,,,
,51,8835880546,,116.4116620,39.9067740,,,,,
,52,26535595,signal,116.4054560,39.9067620,,,,,
,53,9296258001,,116.4053100,39.9067590,,,,,
,54,26535596,signal,116.4118530,39.9046360,,,,,
,55,9742777739,,116.4118730,39.9041190,,,,,
,56,31194136,signal,116.4005420,39.9116150,,,,,
,57,266111656,,116.4010400,39.9116300,,,,,
,58,733788139,,116.4005230,39.9119990,,,,,
