node_id,x_coord,y_coord
0,0.000227,0.000380
1,0.000551,0.000377
2,0.000234,0.000724
3,0.000392,0.000690
4,0.000554,0.000676
5,0.000231,0.000655
6,0.000070,0.000544
7,0.000229,0.000539
8,0.000391,0.000533
9,0.000554,0.000528
10,0.000667,0.000525
11,0.000471,0.000528
12,0.000034,0.000381
13,0.000471,0.000378
14,0.000390,0.000378
15,0.000304,0.000377
16,0.000648,0.000371
17,0.000555,0.000231
18,0.000616,0.000232
19,0.000389,0.000226
20,0.000302,0.000225
21,0.000223,0.000224
22,0.000039,0.000224
23,0.000143,0.000222
24,0.000559,0.000091
25,0.000389,0.000081
26,0.000221,0.000067
27,0.000109,0.000616
28,0.000193,0.000653
29,0.000014,0.000543
30,0.000168,0.000164
31,0.000135,0.000634
