link_id,from_node_id,to_node_id,length,geometry
0,7,32,26.57,"LINESTRING (0.000228 0.000259, 0.000253 0.000250)"
1,1,35,28.64,"LINESTRING (0.000347 0.000674, 0.000359 0.000648)"
2,8,49,30.02,"LINESTRING (0.000465 0.000238, 0.000495 0.000239)"
3,2,56,30.07,"LINESTRING (0.000550 0.000546, 0.000548 0.000576)"
4,27,54,30.27,"LINESTRING (0.000344 0.000395, 0.000314 0.000399)"
5,6,46,30.81,"LINESTRING (0.000439 0.000396, 0.000469 0.000389)"
6,32,33,31.06,"LINESTRING (0.000253 0.000250, 0.000284 0.000248)"
7,5,31,31.24,"LINESTRING (0.000141 0.000406, 0.000161 0.000430)"
8,58,59,31.4,"LINESTRING (0.000252 0.000222, 0.000271 0.000197)"
9,5,52,32.76,"LINESTRING (0.000141 0.000406, 0.000158 0.000378)"
10,17,24,36.06,"LINESTRING (0.000547 0.000110, 0.000583 0.000112)"
11,45,55,36.12,"LINESTRING (0.000190 0.000400, 0.000226 0.000397)"
12,4,53,38.47,"LINESTRING (0.000178 0.000546, 0.000140 0.000552)"
13,8,29,39.56,"LINESTRING (0.000465 0.000238, 0.000454 0.000276)"
14,16,39,39.56,"LINESTRING (0.000118 0.000261, 0.000080 0.000250)"
15,9,40,40.11,"LINESTRING (0.000460 0.000103, 0.000500 0.000100)"
16,11,50,40.45,"LINESTRING (0.000327 0.000109, 0.000287 0.000103)"
17,3,25,40.79,"LINESTRING (0.000409 0.000545, 0.000417 0.000505)"
18,13,15,42.3,"LINESTRING (0.000582 0.000385, 0.000624 0.000390)"
19,34,50,43.1,"LINESTRING (0.000244 0.000106, 0.000287 0.000103)"
20,7,58,44.1,"LINESTRING (0.000228 0.000259, 0.000252 0.000222)"
21,19,43,45.04,"LINESTRING (0.000673 0.000104, 0.000628 0.000106)"
22,10,42,45.18,"LINESTRING (0.000620 0.000232, 0.000624 0.000187)"
23,27,38,46.1,"LINESTRING (0.000344 0.000395, 0.000390 0.000392)"
24,3,41,46.39,"LINESTRING (0.000409 0.000545, 0.000455 0.000551)"
25,7,57,47.01,"LINESTRING (0.000228 0.000259, 0.000209 0.000302)"
26,8,48,47.52,"LINESTRING (0.000465 0.000238, 0.000418 0.000245)"
27,17,40,48.05,"LINESTRING (0.000547 0.000110, 0.000500 0.000100)"
28,6,38,49.16,"LINESTRING (0.000439 0.000396, 0.000390 0.000392)"
29,5,45,49.37,"LINESTRING (0.000141 0.000406, 0.000190 0.000400)"
30,16,47,49.82,"LINESTRING (0.000118 0.000261, 0.000167 0.000252)"
31,11,14,50.36,"LINESTRING (0.000327 0.000109, 0.000377 0.000103)"
32,31,52,52.09,"LINESTRING (0.000161 0.000430, 0.000158 0.000378)"
33,3,30,52.39,"LINESTRING (0.000409 0.000545, 0.000388 0.000593)"
34,4,26,58.22,"LINESTRING (0.000178 0.000546, 0.000173 0.000488)"
35,26,31,59.23,"LINESTRING (0.000173 0.000488, 0.000161 0.000430)"
36,5,21,60.21,"LINESTRING (0.000141 0.000406, 0.000082 0.000394)"
37,7,47,61.4,"LINESTRING (0.000228 0.000259, 0.000167 0.000252)"
38,30,35,62.18,"LINESTRING (0.000388 0.000593, 0.000359 0.000648)"
39,15,28,62.51,"LINESTRING (0.000624 0.000390, 0.000686 0.000382)"
40,10,18,63.03,"LINESTRING (0.000620 0.000232, 0.000683 0.000230)"
41,4,36,63.07,"LINESTRING (0.000178 0.000546, 0.000241 0.000549)"
42,22,28,65.01,"LINESTRING (0.000751 0.000381, 0.000686 0.000382)"
43,3,44,65.12,"LINESTRING (0.000409 0.000545, 0.000344 0.000549)"
44,20,53,69.35,"LINESTRING (0.000071 0.000545, 0.000140 0.000552)"
45,38,46,79.06,"LINESTRING (0.000390 0.000392, 0.000469 0.000389)"
46,17,43,81.1,"LINESTRING (0.000547 0.000110, 0.000628 0.000106)"
47,9,14,83.0,"LINESTRING (0.000460 0.000103, 0.000377 0.000103)"
48,24,42,85.48,"LINESTRING (0.000583 0.000112, 0.000624 0.000187)"
