node_id,x_coord,y_coord
0,0.000525,0.000768
1,0.000347,0.000674
2,0.000550,0.000546
3,0.000409,0.000545
4,0.000178,0.000546
5,0.000141,0.000406
6,0.000439,0.000396
7,0.000228,0.000259
8,0.000465,0.000238
9,0.000460,0.000103
10,0.000620,0.000232
11,0.000327,0.000109
12,0.000743,0.000536
13,0.000582,0.000385
14,0.000377,0.000103
15,0.000624,0.000390
16,0.000118,0.000261
17,0.000547,0.000110
18,0.000683,0.000230
19,0.000673,0.000104
20,0.000071,0.000545
21,0.000082,0.000394
22,0.000751,0.000381
23,0.000089,0.000115
24,0.000583,0.000112
25,0.000417,0.000505
26,0.000173,0.000488
27,0.000344,0.000395
28,0.000686,0.000382
29,0.000454,0.000276
30,0.000388,0.000593
31,0.000161,0.000430
32,0.000253,0.000250
33,0.000284,0.000248
34,0.000244,0.000106
35,0.000359,0.000648
36,0.000241,0.000549
37,0.000583,0.000467
38,0.000390,0.000392
39,0.000080,0.000250
40,0.000500,0.000100
41,0.000455,0.000551
42,0.000624,0.000187
43,0.000628,0.000106
44,0.000344,0.000549
45,0.000190,0.000400
46,0.000469,0.000389
47,0.000167,0.000252
48,0.000418,0.000245
49,0.000495,0.000239
50,0.000287,0.000103
51,0.000438,0.000711
52,0.000158,0.000378
53,0.000140,0.000552
54,0.000314,0.000399
55,0.000226,0.000397
56,0.000548,0.000576
57,0.000209,0.000302
58,0.000252,0.000222
59,0.000271,0.000197
