link_id,from_node_id,to_node_id,length,geometry
0,27,31,31.62,"LINESTRING (0.000109 0.000616, 0.000135 0.000634)"
1,5,28,38.05,"LINESTRING (0.000231 0.000655, 0.000193 0.000653)"
2,6,29,56.01,"LINESTRING (0.000070 0.000544, 0.000014 0.000543)"
3,17,18,61.01,"LINESTRING (0.000555 0.000231, 0.000616 0.000232)"
4,28,31,61.03,"LINESTRING (0.000193 0.000653, 0.000135 0.000634)"
5,23,30,63.16,"LINESTRING (0.000143 0.000222, 0.000168 0.000164)"
6,2,5,69.07,"LINESTRING (0.000234 0.000724, 0.000231 0.000655)"
7,0,15,77.06,"LINESTRING (0.000227 0.000380, 0.000304 0.000377)"
8,20,21,79.01,"LINESTRING (0.000302 0.000225, 0.000223 0.000224)"
9,1,13,80.01,"LINESTRING (0.000551 0.000377, 0.000471 0.000378)"
10,21,23,80.02,"LINESTRING (0.000223 0.000224, 0.000143 0.000222)"
11,8,11,80.16,"LINESTRING (0.000391 0.000533, 0.000471 0.000528)"
12,13,14,81.0,"LINESTRING (0.000471 0.000378, 0.000390 0.000378)"
13,9,11,83.0,"LINESTRING (0.000554 0.000528, 0.000471 0.000528)"
14,14,15,86.01,"LINESTRING (0.000390 0.000378, 0.000304 0.000377)"
15,19,20,87.01,"LINESTRING (0.000389 0.000226, 0.000302 0.000225)"
16,1,16,97.19,"LINESTRING (0.000551 0.000377, 0.000648 0.000371)"
17,22,23,104.02,"LINESTRING (0.000039 0.000224, 0.000143 0.000222)"
18,9,10,113.04,"LINESTRING (0.000554 0.000528, 0.000667 0.000525)"
19,5,7,116.02,"LINESTRING (0.000231 0.000655, 0.000229 0.000539)"
20,17,24,140.06,"LINESTRING (0.000555 0.000231, 0.000559 0.000091)"
21,19,25,145.0,"LINESTRING (0.000389 0.000226, 0.000389 0.000081)"
22,1,17,146.05,"LINESTRING (0.000551 0.000377, 0.000555 0.000231)"
23,4,9,148.0,"LINESTRING (0.000554 0.000676, 0.000554 0.000528)"
24,11,13,150.0,"LINESTRING (0.000471 0.000528, 0.000471 0.000378)"
25,1,9,151.03,"LINESTRING (0.000551 0.000377, 0.000554 0.000528)"
26,14,19,152.0,"LINESTRING (0.000390 0.000378, 0.000389 0.000226)"
27,15,20,152.01,"LINESTRING (0.000304 0.000377, 0.000302 0.000225)"
28,8,14,155.0,"LINESTRING (0.000391 0.000533, 0.000390 0.000378)"
29,0,21,156.05,"LINESTRING (0.000227 0.000380, 0.000223 0.000224)"
30,3,8,157.0,"LINESTRING (0.000392 0.000690, 0.000391 0.000533)"
31,21,26,157.01,"LINESTRING (0.000223 0.000224, 0.000221 0.000067)"
32,0,7,159.01,"LINESTRING (0.000227 0.000380, 0.000229 0.000539)"
33,6,7,159.08,"LINESTRING (0.000070 0.000544, 0.000229 0.000539)"
34,7,8,162.11,"LINESTRING (0.000229 0.000539, 0.000391 0.000533)"
35,17,19,166.08,"LINESTRING (0.000555 0.000231, 0.000389 0.000226)"
36,0,12,193.0,"LINESTRING (0.000227 0.000380, 0.000034 0.000381)"
