link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,西长安街,0,1,2,1,"LINESTRING (116.388928 39.905999, 116.389446 39.906016)",1,44.22,trunk,2,,,,auto,
2,西长安街,1,3,4,1,"LINESTRING (116.392631 39.906113, 116.39308 39.906126)",1,38.33,trunk,2,,,,auto,
3,东长安街,27,5,6,1,"LINESTRING (116.38984 39.906273, 116.38943 39.90626)",1,35.00,trunk,2,70,5,,auto,
4,东长安街,40,7,8,1,"LINESTRING (116.397381 39.90653, 116.397096 39.906522)",1,24.33,trunk,2,,5,,auto,
5,东长安街,41,9,10,1,"LINESTRING (116.399981 39.906433, 116.400026 39.906434)",1,3.84,trunk,2,,,,auto,
6,东长安街,42,11,12,1,"LINESTRING (116.393616 39.906396, 116.39307 39.906373)",1,46.64,trunk,2,,5,,auto,
7,南池子大街,51,13,14,1,"LINESTRING (116.396907 39.910253, 116.396887 39.910643)",1,43.40,tertiary,5,,1,,auto,
8,南池子大街,51,14,13,1,"LINESTRING (116.396887 39.910643, 116.396907 39.910253)",1,43.40,tertiary,5,,1,,auto,
9,南池子大街,52,13,15,1,"LINESTRING (116.396907 39.910253, 116.396944 39.909492)",1,84.68,tertiary,5,,1,,auto,
10,南池子大街,52,15,13,1,"LINESTRING (116.396944 39.909492, 116.396907 39.910253)",1,84.68,tertiary,5,,1,,auto,
11,南池子大街,54,16,15,1,"LINESTRING (116.396958 39.909212, 116.396944 39.909492)",1,31.16,tertiary,5,,1,,auto,
12,南池子大街,54,15,16,1,"LINESTRING (116.396944 39.909492, 116.396958 39.909212)",1,31.16,tertiary,5,,1,,auto,
13,南池子大街,55,16,17,1,"LINESTRING (116.396958 39.909212, 116.397014 39.90807)",1,127.07,tertiary,5,,1,,auto,
14,南池子大街,55,17,16,1,"LINESTRING (116.397014 39.90807, 116.396958 39.909212)",1,127.07,tertiary,5,,1,,auto,
15,南池子大街,64,15,13,1,"LINESTRING (116.396944 39.909492, 116.396907 39.910253)",1,84.68,tertiary,5,,1,,auto,
16,南池子大街,64,13,15,1,"LINESTRING (116.396907 39.910253, 116.396944 39.909492)",1,84.68,tertiary,5,,1,,auto,
17,南池子大街,65,15,16,1,"LINESTRING (116.396944 39.909492, 116.396958 39.909212)",1,31.16,tertiary,5,,1,,auto,
18,南池子大街,65,16,15,1,"LINESTRING (116.396958 39.909212, 116.396944 39.909492)",1,31.16,tertiary,5,,1,,auto,
19,南池子大街,72,17,16,1,"LINESTRING (116.397014 39.90807, 116.396958 39.909212)",1,127.07,tertiary,5,,1,,auto,
20,南池子大街,72,16,17,1,"LINESTRING (116.396958 39.909212, 116.397014 39.90807)",1,127.07,tertiary,5,,1,,auto,
21,南池子大街,73,17,18,1,"LINESTRING (116.397014 39.90807, 116.397023 39.907899)",1,19.03,tertiary,5,,1,,auto,
22,南池子大街,73,18,17,1,"LINESTRING (116.397023 39.907899, 116.397014 39.90807)",1,19.03,tertiary,5,,1,,auto,
23,南池子大街,77,19,18,1,"LINESTRING (116.397039 39.907574, 116.397023 39.907899)",1,36.16,tertiary,5,,1,,auto,
24,南池子大街,77,18,19,1,"LINESTRING (116.397023 39.907899, 116.397039 39.907574)",1,36.16,tertiary,5,,1,,auto,
25,南池子大街,78,19,20,1,"LINESTRING (116.397039 39.907574, 116.397048 39.907395)",1,19.92,tertiary,5,,1,,auto,
26,南池子大街,78,20,19,1,"LINESTRING (116.397048 39.907395, 116.397039 39.907574)",1,19.92,tertiary,5,,1,,auto,
27,南池子大街,105,21,22,1,"LINESTRING (116.397066 39.907018, 116.397056 39.907228)",1,23.37,tertiary,5,,1,,auto,
28,南池子大街,105,22,21,1,"LINESTRING (116.397056 39.907228, 116.397066 39.907018)",1,23.37,tertiary,5,,1,,auto,
29,南池子大街,106,21,23,1,"LINESTRING (116.397066 39.907018, 116.397071 39.906928)",1,10.02,tertiary,5,,1,,auto,
30,南池子大街,106,23,21,1,"LINESTRING (116.397071 39.906928, 116.397066 39.907018)",1,10.02,tertiary,5,,1,,auto,
31,南池子大街,120,22,24,1,"LINESTRING (116.397056 39.907228, 116.397051 39.907336)",1,12.02,tertiary,5,,1,,auto,
32,南池子大街,120,24,22,1,"LINESTRING (116.397051 39.907336, 116.397056 39.907228)",1,12.02,tertiary,5,,1,,auto,
33,南池子大街,121,22,21,1,"LINESTRING (116.397056 39.907228, 116.397066 39.907018)",1,23.37,tertiary,5,,1,,auto,
34,南池子大街,121,21,22,1,"LINESTRING (116.397066 39.907018, 116.397056 39.907228)",1,23.37,tertiary,5,,1,,auto,
35,广场东侧路,138,25,26,1,"LINESTRING (116.393214 39.903728, 116.39321 39.903804)",1,8.46,secondary,4,70,4,,auto,
36,南池子大街,224,27,28,1,"LINESTRING (116.397084 39.906772, 116.397081 39.906803)",1,3.46,tertiary,5,,,,auto,
37,南池子大街,224,28,27,1,"LINESTRING (116.397081 39.906803, 116.397084 39.906772)",1,3.46,tertiary,5,,,,auto,
38,南池子大街,225,27,29,1,"LINESTRING (116.397084 39.906772, 116.397086 39.906728)",1,4.90,tertiary,5,,,,auto,
39,南池子大街,225,29,27,1,"LINESTRING (116.397086 39.906728, 116.397084 39.906772)",1,4.90,tertiary,5,,,,auto,
40,东长安街,262,30,9,1,"LINESTRING (116.39747 39.906349, 116.399981 39.906433)",1,214.38,trunk,2,,,,auto,
41,,263,31,8,1,"LINESTRING (116.397014 39.906425, 116.397096 39.906522)",1,12.86,tertiary,5,,,,auto,
42,,263,8,31,1,"LINESTRING (116.397096 39.906522, 116.397014 39.906425)",1,12.86,tertiary,5,,,,auto,
43,,264,31,32,1,"LINESTRING (116.397014 39.906425, 116.396866 39.906276)",1,20.83,tertiary,5,,,,auto,
44,,264,32,31,1,"LINESTRING (116.396866 39.906276, 116.397014 39.906425)",1,20.83,tertiary,5,,,,auto,
45,南池子大街,266,24,20,1,"LINESTRING (116.397051 39.907336, 116.397048 39.907395)",1,6.57,tertiary,5,,1,,auto,
46,南池子大街,266,20,24,1,"LINESTRING (116.397048 39.907395, 116.397051 39.907336)",1,6.57,tertiary,5,,1,,auto,
47,南池子大街,267,24,22,1,"LINESTRING (116.397051 39.907336, 116.397056 39.907228)",1,12.02,tertiary,5,,1,,auto,
48,南池子大街,267,22,24,1,"LINESTRING (116.397056 39.907228, 116.397051 39.907336)",1,12.02,tertiary,5,,1,,auto,
49,南池子大街,269,14,13,1,"LINESTRING (116.396887 39.910643, 116.396907 39.910253)",1,43.40,tertiary,5,,1,,auto,
50,南池子大街,269,13,14,1,"LINESTRING (116.396907 39.910253, 116.396887 39.910643)",1,43.40,tertiary,5,,1,,auto,
51,东长安街,490,33,7,1,"LINESTRING (116.400019 39.9066, 116.397381 39.90653)",1,225.15,trunk,2,,5,,auto,
52,南池子大街,975,23,21,1,"LINESTRING (116.397071 39.906928, 116.397066 39.907018)",1,10.02,tertiary,5,,1,,auto,
53,南池子大街,975,21,23,1,"LINESTRING (116.397066 39.907018, 116.397071 39.906928)",1,10.02,tertiary,5,,1,,auto,
54,南池子大街,976,23,34,1,"LINESTRING (116.397071 39.906928, 116.397074 39.906895)",1,3.68,tertiary,5,,,,auto,
