name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,25248785,signal,116.3889280,39.9059990,,,,,
,2,9063921183,,116.3894460,39.9060160,,,,,
,3,25248786,signal,116.3926310,39.9061130,,,,,
,4,9063921186,,116.3930800,39.9061260,,,,,
,5,321607233,signal,116.3898400,39.9062730,,,,,
,6,9063921182,,116.3894300,39.9062600,,,,,
,7,330841132,signal,116.3973810,39.9065300,,,,,
,8,6650368134,,116.3970960,39.9065220,,,,,
,9,330841134,signal,116.3999810,39.9064330,,,,,
,10,9296257998,,116.4000260,39.9064340,,,,,
,11,330841408,signal,116.3936160,39.9063960,,,,,
,12,9063921187,,116.3930700,39.9063730,,,,,
,13,733788263,,116.3969070,39.9102530,,,,,
,14,5908244201,,116.3968870,39.9106430,,,,,
,15,733788794,,116.3969440,39.9094920,,,,,
,16,733788292,,116.3969580,39.9092120,,,,,
,17,733789032,,116.3970140,39.9080700,,,,,
,18,6448666076,,116.3970230,39.9078990,,,,,
,19,733789295,,116.3970390,39.9075740,,,,,
,20,6448666067,,116.3970480,39.9073950,,,,,
,21,1446052195,,116.3970660,39.9070180,,,,,
,22,1446052218,,116.3970560,39.9072280,,,,,
,23,6421531641,,116.3970710,39.9069280,,,,,
,24,5810315259,,116.3970510,39.9073360,,,,,
,25,1687056659,,116.3932140,39.9037280,,,,,
,26,12628080424,signal,116.3932100,39.9038040,,,,,
,27,4710638744,,116.3970840,39.9067720,,,,,
,28,9782405938,signal,116.3970810,39.9068030,,,,,
,29,6421531651,,116.3970860,39.9067280,,,,,
,30,5300284255,,116.3974700,39.9063490,,,,,
,31,5300287704,,116.3970140,39.9064250,,,,,
,32,9063921184,,116.3968660,39.9062760,,,,,
,33,6095123391,,116.4000190,39.9066000,,,,,
,34,6421531642,,116.3970740,39.9068950,,,,,
,35,6447737000,,116.3971390,39.9063150,,,,,
,36,9296257993,,116.3974060,39.9063420,,,,,
,37,6650358681,,116.3930970,39.9058970,,,,,
,38,9296257991,,116.3966050,39.9065040,,,,,
,39,9034942210,signal,116.3966580,39.9062450,,,,,
,40,9296257992,,116.3966820,39.9062470,,,,,
,41,9296257987,,116.3889230,39.9062450,,,,,
,42,9296257988,,116.3898650,39.9060280,,,,,
,43,6650358684,,116.3894560,39.9058200,,,,,
,44,9296257990,,116.3937090,39.9061470,,,,,
,45,9296257989,,116.3926020,39.9063580,,,,,
,46,9317034206,,116.3950410,39.9061850,,,,,
,47,9317006999,,116.3961260,39.9064920,,,,,
,48,9317034201,,116.3960130,39.9064880,,,,,
,49,9317034202,,116.3958200,39.9064770,,,,,
,50,12628080473,,116.3931790,39.9043720,,,,,
,51,12628080425,,116.3931000,39.9058360,,,,,
