link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,西长安街,0,1,2,1,"LINESTRING (116.388928 39.905999, 116.389446 39.906016)",1,44.22,trunk,2,,,,auto,
2,西长安街,1,3,4,1,"LINESTRING (116.392631 39.906113, 116.39308 39.906126)",1,38.33,trunk,2,,,,auto,
3,东长安街,36,5,6,1,"LINESTRING (116.38984 39.906273, 116.38943 39.90626)",1,35.00,trunk,2,70,5,,auto,
4,东长安街,49,7,8,1,"LINESTRING (116.393616 39.906396, 116.39307 39.906373)",1,46.64,trunk,2,,5,,auto,
5,大宴乐胡同,63,9,10,1,"LINESTRING (116.385618 39.906987, 116.385491 39.906984)",1,10.84,residential,6,,,,auto,
6,大宴乐胡同,63,10,9,1,"LINESTRING (116.385491 39.906984, 116.385618 39.906987)",1,10.84,residential,6,,,,auto,
7,南长街,64,9,11,1,"LINESTRING (116.385618 39.906987, 116.385649 39.906805)",1,20.41,tertiary,5,,,,auto,
8,南长街,64,11,9,1,"LINESTRING (116.385649 39.906805, 116.385618 39.906987)",1,20.41,tertiary,5,,,,auto,
9,南长街,65,9,12,1,"LINESTRING (116.385618 39.906987, 116.385606 39.90731)",1,35.93,tertiary,5,,,,auto,
10,南长街,65,12,9,1,"LINESTRING (116.385606 39.90731, 116.385618 39.906987)",1,35.93,tertiary,5,,,,auto,
11,南长街,70,11,13,1,"LINESTRING (116.385649 39.906805, 116.385675 39.90656)",1,27.33,tertiary,5,,,,auto,
12,南长街,70,13,11,1,"LINESTRING (116.385675 39.90656, 116.385649 39.906805)",1,27.33,tertiary,5,,,,auto,
13,南长街,71,11,9,1,"LINESTRING (116.385649 39.906805, 116.385618 39.906987)",1,20.41,tertiary,5,,,,auto,
14,南长街,71,9,11,1,"LINESTRING (116.385618 39.906987, 116.385649 39.906805)",1,20.41,tertiary,5,,,,auto,
15,南池子大街,73,14,15,1,"LINESTRING (116.397014 39.90807, 116.397023 39.907899)",1,19.03,tertiary,5,,1,,auto,
16,南池子大街,73,15,14,1,"LINESTRING (116.397023 39.907899, 116.397014 39.90807)",1,19.03,tertiary,5,,1,,auto,
17,南池子大街,77,16,15,1,"LINESTRING (116.397039 39.907574, 116.397023 39.907899)",1,36.16,tertiary,5,,1,,auto,
18,南池子大街,77,15,16,1,"LINESTRING (116.397023 39.907899, 116.397039 39.907574)",1,36.16,tertiary,5,,1,,auto,
19,南池子大街,78,16,17,1,"LINESTRING (116.397039 39.907574, 116.397048 39.907395)",1,19.92,tertiary,5,,1,,auto,
20,南池子大街,78,17,16,1,"LINESTRING (116.397048 39.907395, 116.397039 39.907574)",1,19.92,tertiary,5,,1,,auto,
21,广场东侧路,115,18,19,1,"LINESTRING (116.393214 39.903728, 116.39321 39.903804)",1,8.46,secondary,4,70,4,,auto,
22,西长安街,138,20,21,1,"LINESTRING (116.386428 39.906169, 116.385872 39.90615)",1,47.47,trunk,2,,,,auto,
23,西长安街,247,22,1,1,"LINESTRING (116.386644 39.905923, 116.388928 39.905999)",1,195.00,trunk,2,,,,auto,
24,南池子大街,291,23,17,1,"LINESTRING (116.397051 39.907336, 116.397048 39.907395)",1,6.57,tertiary,5,,1,,auto,
25,南池子大街,291,17,23,1,"LINESTRING (116.397048 39.907395, 116.397051 39.907336)",1,6.57,tertiary,5,,1,,auto,
26,南长街,410,13,24,1,"LINESTRING (116.385675 39.90656, 116.385675 39.906473)",1,9.67,tertiary,5,,,,auto,
27,南长街,410,24,13,1,"LINESTRING (116.385675 39.906473, 116.385675 39.90656)",1,9.67,tertiary,5,,,,auto,
28,南长街,411,13,11,1,"LINESTRING (116.385675 39.90656, 116.385649 39.906805)",1,27.33,tertiary,5,,,,auto,
29,南长街,411,11,13,1,"LINESTRING (116.385649 39.906805, 116.385675 39.90656)",1,27.33,tertiary,5,,,,auto,
30,大宴乐胡同,556,10,9,1,"LINESTRING (116.385491 39.906984, 116.385618 39.906987)",1,10.84,residential,6,,,,auto,
31,大宴乐胡同,556,9,10,1,"LINESTRING (116.385618 39.906987, 116.385491 39.906984)",1,10.84,residential,6,,,,auto,
32,南长街,558,25,26,1,"LINESTRING (116.385577 39.908098, 116.385582 39.907977)",1,13.46,tertiary,5,,,,auto,
33,南长街,558,26,25,1,"LINESTRING (116.385582 39.907977, 116.385577 39.908098)",1,13.46,tertiary,5,,,,auto,
34,南池子大街,1827,17,16,1,"LINESTRING (116.397048 39.907395, 116.397039 39.907574)",1,19.92,tertiary,5,,1,,auto,
35,南池子大街,1827,16,17,1,"LINESTRING (116.397039 39.907574, 116.397048 39.907395)",1,19.92,tertiary,5,,1,,auto,
36,南池子大街,1828,17,23,1,"LINESTRING (116.397048 39.907395, 116.397051 39.907336)",1,6.57,tertiary,5,,1,,auto,
37,南池子大街,1828,23,17,1,"LINESTRING (116.397051 39.907336, 116.397048 39.907395)",1,6.57,tertiary,5,,1,,auto,
38,南池子大街,1829,15,14,1,"LINESTRING (116.397023 39.907899, 116.397014 39.90807)",1,19.03,tertiary,5,,1,,auto,
39,南池子大街,1829,14,15,1,"LINESTRING (116.397014 39.90807, 116.397023 39.907899)",1,19.03,tertiary,5,,1,,auto,
40,南池子大街,1830,15,16,1,"LINESTRING (116.397023 39.907899, 116.397039 39.907574)",1,36.16,tertiary,5,,1,,auto,
41,南池子大街,1830,16,15,1,"LINESTRING (116.397039 39.907574, 116.397023 39.907899)",1,36.16,tertiary,5,,1,,auto,
42,,1875,27,4,1,"LINESTRING (116.393097 39.905897, 116.39308 39.906126)",1,25.50,secondary,4,,,,auto,
43,广场西侧路,1878,28,29,1,"LINESTRING (116.389456 39.90582, 116.389561 39.903611)",1,245.79,secondary,4,,,,auto,
44,东长安街,2005,30,31,1,"LINESTRING (116.396658 39.906245, 116.396682 39.906247)",1,2.06,trunk,2,,,,auto,
45,,2006,6,2,1,"LINESTRING (116.38943 39.90626, 116.389446 39.906016)",1,27.17,secondary,4,,,,auto,
46,西长安街,2007,6,32,1,"LINESTRING (116.38943 39.90626, 116.388923 39.906245)",1,43.28,trunk,2,70,5,,auto,
47,西长安街,2008,2,33,1,"LINESTRING (116.389446 39.906016, 116.389865 39.906028)",1,35.76,trunk,2,,,,auto,
48,广场西侧路,2009,2,28,1,"LINESTRING (116.389446 39.906016, 116.389456 39.90582)",1,21.81,secondary,4,,,,auto,
49,东长安街,2010,4,34,1,"LINESTRING (116.39308 39.906126, 116.393709 39.906147)",1,53.70,trunk,2,,,,auto,
50,,2011,4,8,1,"LINESTRING (116.39308 39.906126, 116.39307 39.906373)",1,27.48,secondary,4,,,,auto,
51,东长安街,2012,8,35,1,"LINESTRING (116.39307 39.906373, 116.392602 39.906358)",1,39.95,trunk,2,70,5,,auto,
52,南长街,2015,36,24,1,"LINESTRING (116.385676 39.906385, 116.385675 39.906473)",1,9.79,tertiary,5,,,,auto,
53,南长街,2015,24,36,1,"LINESTRING (116.385675 39.906473, 116.385676 39.906385)",1,9.79,tertiary,5,,,,auto,
54,西长安街,2017,32,37,1,"LINESTRING (116.388923 39.906245, 116.387474 39.906202)",1,123.69,trunk,2,70,5,,auto,
55,西长安街,2018,33,3,1,"LINESTRING (116.389865 39.906028, 116.392631 39.906113)",1,236.12,trunk,2,,,,auto,
