link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,,0,1,2,1,"LINESTRING (119.899246 42.279968, 119.898618 42.276299)",1,411.23,secondary,4,,,,auto,
2,,1,3,4,1,"LINESTRING (119.899348 42.279972, 119.899364 42.280066)",1,10.53,secondary,4,,,,auto,
3,,2,5,6,1,"LINESTRING (119.905068 42.277649, 119.905023 42.277512)",1,15.68,unclassified,20,,,,auto,
4,,2,6,5,1,"LINESTRING (119.905023 42.277512, 119.905068 42.277649)",1,15.68,unclassified,20,,,,auto,
5,,3,5,7,1,"LINESTRING (119.905068 42.277649, 119.905127 42.277816)",1,19.19,unclassified,20,,,,auto,
6,,3,7,5,1,"LINESTRING (119.905127 42.277816, 119.905068 42.277649)",1,19.19,unclassified,20,,,,auto,
7,,4,6,8,1,"LINESTRING (119.905023 42.277512, 119.904037 42.275558)",1,231.92,unclassified,20,,,,auto,
8,,4,8,6,1,"LINESTRING (119.904037 42.275558, 119.905023 42.277512)",1,231.92,unclassified,20,,,,auto,
9,,5,6,5,1,"LINESTRING (119.905023 42.277512, 119.905068 42.277649)",1,15.68,unclassified,20,,,,auto,
10,,5,5,6,1,"LINESTRING (119.905068 42.277649, 119.905023 42.277512)",1,15.68,unclassified,20,,,,auto,
11,,6,7,5,1,"LINESTRING (119.905127 42.277816, 119.905068 42.277649)",1,19.19,unclassified,20,,,,auto,
12,,6,5,7,1,"LINESTRING (119.905068 42.277649, 119.905127 42.277816)",1,19.19,unclassified,20,,,,auto,
13,,7,7,9,1,"LINESTRING (119.905127 42.277816, 119.905195 42.278124)",1,34.70,unclassified,20,,,,auto,
14,,7,9,7,1,"LINESTRING (119.905195 42.278124, 119.905127 42.277816)",1,34.70,unclassified,20,,,,auto,
15,,8,9,7,1,"LINESTRING (119.905195 42.278124, 119.905127 42.277816)",1,34.70,unclassified,20,,,,auto,
16,,8,7,9,1,"LINESTRING (119.905127 42.277816, 119.905195 42.278124)",1,34.70,unclassified,20,,,,auto,
17,,9,9,10,1,"LINESTRING (119.905195 42.278124, 119.905324 42.279463)",1,149.27,unclassified,20,,,,auto,
18,,9,10,9,1,"LINESTRING (119.905324 42.279463, 119.905195 42.278124)",1,149.27,unclassified,20,,,,auto,
19,,10,11,12,1,"LINESTRING (119.896958 42.283899, 119.896334 42.283959)",1,51.76,residential,6,,,,auto,
20,,10,12,11,1,"LINESTRING (119.896334 42.283959, 119.896958 42.283899)",1,51.76,residential,6,,,,auto,
21,,11,11,13,1,"LINESTRING (119.896958 42.283899, 119.896883 42.283372)",1,58.92,tertiary,5,,,,auto,
22,,12,14,12,1,"LINESTRING (119.895616 42.284029, 119.896334 42.283959)",1,59.58,residential,6,,,,auto,
23,,12,12,14,1,"LINESTRING (119.896334 42.283959, 119.895616 42.284029)",1,59.58,residential,6,,,,auto,
