link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,,0,1,2,1,"LINESTRING (119.899246 42.279968, 119.898618 42.276299)",1,411.23,secondary,4,,,,auto,
2,,1,3,4,1,"LINESTRING (119.899348 42.279972, 119.899364 42.280066)",1,10.53,secondary,4,,,,auto,
3,,2,5,6,1,"LINESTRING (119.894831 42.273304, 119.89446 42.273345)",1,30.86,unclassified,20,,,,auto,
4,,2,6,5,1,"LINESTRING (119.89446 42.273345, 119.894831 42.273304)",1,30.86,unclassified,20,,,,auto,
5,,3,5,7,1,"LINESTRING (119.894831 42.273304, 119.89489 42.273523)",1,24.83,unclassified,20,,,,auto,
6,,3,7,5,1,"LINESTRING (119.89489 42.273523, 119.894831 42.273304)",1,24.83,unclassified,20,,,,auto,
7,,4,8,6,1,"LINESTRING (119.893981 42.273399, 119.89446 42.273345)",1,39.87,unclassified,20,,,,auto,
8,,4,6,8,1,"LINESTRING (119.89446 42.273345, 119.893981 42.273399)",1,39.87,unclassified,20,,,,auto,
9,,5,8,9,1,"LINESTRING (119.893981 42.273399, 119.893761 42.273432)",1,18.47,unclassified,20,,,,auto,
10,,5,9,8,1,"LINESTRING (119.893761 42.273432, 119.893981 42.273399)",1,18.47,unclassified,20,,,,auto,
11,,6,8,10,1,"LINESTRING (119.893981 42.273399, 119.894036 42.273588)",1,21.50,residential,6,,,,auto,
12,,6,10,8,1,"LINESTRING (119.894036 42.273588, 119.893981 42.273399)",1,21.50,residential,6,,,,auto,
13,,7,11,12,1,"LINESTRING (119.891776 42.273728, 119.893018 42.273543)",1,104.24,unclassified,20,,,,auto,
14,,7,12,11,1,"LINESTRING (119.893018 42.273543, 119.891776 42.273728)",1,104.24,unclassified,20,,,,auto,
15,,8,11,13,1,"LINESTRING (119.891776 42.273728, 119.89178 42.273789)",1,6.79,unclassified,20,,,,auto,
16,,8,13,11,1,"LINESTRING (119.89178 42.273789, 119.891776 42.273728)",1,6.79,unclassified,20,,,,auto,
17,,9,14,15,1,"LINESTRING (119.895137 42.274445, 119.895022 42.274017)",1,48.52,unclassified,20,,,,auto,
18,,9,15,14,1,"LINESTRING (119.895022 42.274017, 119.895137 42.274445)",1,48.52,unclassified,20,,,,auto,
19,,10,14,16,1,"LINESTRING (119.895137 42.274445, 119.895191 42.274602)",1,18.01,unclassified,20,,,,auto,
20,,10,16,14,1,"LINESTRING (119.895191 42.274602, 119.895137 42.274445)",1,18.01,unclassified,20,,,,auto,
21,,11,16,14,1,"LINESTRING (119.895191 42.274602, 119.895137 42.274445)",1,18.01,unclassified,20,,,,auto,
22,,11,14,16,1,"LINESTRING (119.895137 42.274445, 119.895191 42.274602)",1,18.01,unclassified,20,,,,auto,
23,,12,16,17,1,"LINESTRING (119.895191 42.274602, 119.895352 42.274911)",1,36.82,unclassified,20,,,,auto,
