link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,,0,1,2,1,"LINESTRING (119.940595 42.272865, 119.94006 42.273636)",1,96.37,trunk,2,,,,auto,
2,,0,2,1,1,"LINESTRING (119.94006 42.273636, 119.940595 42.272865)",1,96.37,trunk,2,,,,auto,
3,,1,3,4,1,"LINESTRING (119.937289 42.292495, 119.9374 42.292515)",1,9.40,trunk,2,,,,auto,
4,,1,4,3,1,"LINESTRING (119.9374 42.292515, 119.937289 42.292495)",1,9.40,trunk,2,,,,auto,
5,,2,3,5,1,"LINESTRING (119.937289 42.292495, 119.936907 42.292465)",1,31.60,primary,3,,,,auto,
6,京漠线,3,3,6,1,"LINESTRING (119.937289 42.292495, 119.937398 42.290776)",1,191.35,trunk,2,,2,,auto,
7,,4,7,8,1,"LINESTRING (119.943266 42.294086, 119.9425 42.293653)",1,79.30,trunk,2,,,,auto,
8,,4,8,7,1,"LINESTRING (119.9425 42.293653, 119.943266 42.294086)",1,79.30,trunk,2,,,,auto,
9,,5,9,10,1,"LINESTRING (119.899246 42.279968, 119.898618 42.276299)",1,411.23,secondary,4,,,,auto,
10,,6,11,12,1,"LINESTRING (119.906834 42.28759, 119.90913 42.287392)",1,190.15,primary,3,,3,,auto,
11,,7,13,14,1,"LINESTRING (119.899348 42.279972, 119.899364 42.280066)",1,10.53,secondary,4,,,,auto,
12,,8,15,16,1,"LINESTRING (119.921598 42.286297, 119.921829 42.286277)",1,19.13,primary,3,,,,auto,
13,,9,17,18,1,"LINESTRING (119.909129 42.287466, 119.906851 42.287662)",1,188.65,primary,3,,3,,auto,
14,,10,12,19,1,"LINESTRING (119.90913 42.287392, 119.909887 42.287326)",1,62.70,primary,3,,,,auto,
15,,11,20,21,1,"LINESTRING (119.901516 42.294215, 119.900578 42.288318)",1,660.24,primary,3,,,,auto,
16,,12,22,23,1,"LINESTRING (119.901603 42.294204, 119.90168 42.294596)",1,44.05,primary,3,,,,auto,
17,,13,18,24,1,"LINESTRING (119.906851 42.287662, 119.906648 42.28768)",1,16.82,primary,3,,3,,auto,
18,,14,25,26,1,"LINESTRING (119.917625 42.28093, 119.920906 42.280644)",1,271.79,residential,6,,,,auto,
19,,14,26,25,1,"LINESTRING (119.920906 42.280644, 119.917625 42.28093)",1,271.79,residential,6,,,,auto,
20,,15,25,27,1,"LINESTRING (119.917625 42.28093, 119.917512 42.280939)",1,9.35,residential,6,,,,auto,
21,,15,27,25,1,"LINESTRING (119.917512 42.280939, 119.917625 42.28093)",1,9.35,residential,6,,,,auto,
22,,16,25,28,1,"LINESTRING (119.917625 42.28093, 119.917966 42.283122)",1,245.35,tertiary,5,,,,auto,
23,,17,27,25,1,"LINESTRING (119.917512 42.280939, 119.917625 42.28093)",1,9.35,residential,6,,,,auto,
24,,17,25,27,1,"LINESTRING (119.917625 42.28093, 119.917512 42.280939)",1,9.35,residential,6,,,,auto,
25,,18,27,29,1,"LINESTRING (119.917512 42.280939, 119.914686 42.281185)",1,234.09,residential,6,,,,auto,
26,,18,29,27,1,"LINESTRING (119.914686 42.281185, 119.917512 42.280939)",1,234.09,residential,6,,,,auto,
27,,19,27,30,1,"LINESTRING (119.917512 42.280939, 119.917122 42.278428)",1,281.05,tertiary,5,,,,auto,
28,,20,29,27,1,"LINESTRING (119.914686 42.281185, 119.917512 42.280939)",1,234.09,residential,6,,,,auto,
29,,20,27,29,1,"LINESTRING (119.917512 42.280939, 119.914686 42.281185)",1,234.09,residential,6,,,,auto,
30,,21,29,31,1,"LINESTRING (119.914686 42.281185, 119.914518 42.2812)",1,13.92,residential,6,,,,auto,
31,,21,31,29,1,"LINESTRING (119.914518 42.2812, 119.914686 42.281185)",1,13.92,residential,6,,,,auto,
32,,22,29,32,1,"LINESTRING (119.914686 42.281185, 119.915042 42.283388)",1,246.71,residential,6,,,,auto,
33,,23,31,29,1,"LINESTRING (119.914518 42.2812, 119.914686 42.281185)",1,13.92,residential,6,,,,auto,
34,,23,29,31,1,"LINESTRING (119.914686 42.281185, 119.914518 42.2812)",1,13.92,residential,6,,,,auto,
35,,24,31,33,1,"LINESTRING (119.914518 42.2812, 119.912763 42.281352)",1,145.37,residential,6,,,,auto,
36,,24,33,31,1,"LINESTRING (119.912763 42.281352, 119.914518 42.2812)",1,145.37,residential,6,,,,auto,
37,,25,31,34,1,"LINESTRING (119.914518 42.2812, 119.91412 42.278739)",1,275.60,residential,6,,,,auto,
38,,26,35,33,1,"LINESTRING (119.911757 42.28144, 119.912763 42.281352)",1,83.34,residential,6,,,,auto,
39,,26,33,35,1,"LINESTRING (119.912763 42.281352, 119.911757 42.28144)",1,83.34,residential,6,,,,auto,
40,,27,35,36,1,"LINESTRING (119.911757 42.28144, 119.911654 42.281449)",1,8.53,residential,6,,,,auto,
41,,27,36,35,1,"LINESTRING (119.911654 42.281449, 119.911757 42.28144)",1,8.53,residential,6,,,,auto,
42,迎宾大道,28,35,37,1,"LINESTRING (119.911757 42.28144, 119.911921 42.282509)",1,119.63,secondary,4,,3,,auto,
43,,29,36,35,1,"LINESTRING (119.911654 42.281449, 119.911757 42.28144)",1,8.53,residential,6,,,,auto,
