link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,,0,1,2,1,"LINESTRING (119.921598 42.286297, 119.921829 42.286277)",1,19.13,primary,3,,,,auto,
2,,2,3,4,1,"LINESTRING (119.916721 42.288416, 119.918644 42.288245)",1,159.32,residential,6,,,,auto,
3,,2,4,3,1,"LINESTRING (119.918644 42.288245, 119.916721 42.288416)",1,159.32,residential,6,,,,auto,
4,,4,5,6,1,"LINESTRING (119.91689 42.289461, 119.918806 42.289292)",1,158.72,residential,6,,,,auto,
5,,4,6,5,1,"LINESTRING (119.918806 42.289292, 119.91689 42.289461)",1,158.72,residential,6,,,,auto,
6,,5,4,3,1,"LINESTRING (119.918644 42.288245, 119.916721 42.288416)",1,159.32,residential,6,,,,auto,
7,,5,3,4,1,"LINESTRING (119.916721 42.288416, 119.918644 42.288245)",1,159.32,residential,6,,,,auto,
8,,6,4,7,1,"LINESTRING (119.918644 42.288245, 119.9184 42.286661)",1,177.27,tertiary,5,,,,auto,
9,,7,8,9,1,"LINESTRING (119.921874 42.286273, 119.922062 42.286258)",1,15.55,primary,3,,,,auto,
10,,8,10,1,1,"LINESTRING (119.918503 42.286569, 119.921598 42.286297)",1,256.39,primary,3,,,,auto,
11,,9,10,11,1,"LINESTRING (119.918503 42.286569, 119.918516 42.286651)",1,9.18,tertiary,5,,,,auto,
12,,10,11,7,1,"LINESTRING (119.918516 42.286651, 119.9184 42.286661)",1,9.61,primary,3,,,,auto,
13,,11,11,12,1,"LINESTRING (119.918516 42.286651, 119.918884 42.289039)",1,267.25,tertiary,5,,,,auto,
14,,12,13,10,1,"LINESTRING (119.918387 42.286579, 119.918503 42.286569)",1,9.61,primary,3,,,,auto,
15,,13,7,14,1,"LINESTRING (119.9184 42.286661, 119.91561 42.286903)",1,231.08,primary,3,,,,auto,
16,,14,7,13,1,"LINESTRING (119.9184 42.286661, 119.918387 42.286579)",1,9.18,tertiary,5,,,,auto,
17,,15,15,16,1,"LINESTRING (119.918922 42.289282, 119.91926 42.291473)",1,245.21,tertiary,5,,,,auto,
18,,16,15,6,1,"LINESTRING (119.918922 42.289282, 119.918806 42.289292)",1,9.61,residential,6,,,,auto,
19,,16,6,15,1,"LINESTRING (119.918806 42.289292, 119.918922 42.289282)",1,9.61,residential,6,,,,auto,
20,,17,6,17,1,"LINESTRING (119.918806 42.289292, 119.918773 42.28908)",1,23.73,tertiary,5,,,,auto,
21,,18,6,15,1,"LINESTRING (119.918806 42.289292, 119.918922 42.289282)",1,9.61,residential,6,,,,auto,
22,,18,15,6,1,"LINESTRING (119.918922 42.289282, 119.918806 42.289292)",1,9.61,residential,6,,,,auto,
23,,19,6,5,1,"LINESTRING (119.918806 42.289292, 119.91689 42.289461)",1,158.72,residential,6,,,,auto,
24,,19,5,6,1,"LINESTRING (119.91689 42.289461, 119.918806 42.289292)",1,158.72,residential,6,,,,auto,
25,,20,12,15,1,"LINESTRING (119.918884 42.289039, 119.918922 42.289282)",1,27.20,tertiary,5,,,,auto,
26,,21,17,4,1,"LINESTRING (119.918773 42.28908, 119.918644 42.288245)",1,93.45,tertiary,5,,,,auto,
27,,22,18,19,1,"LINESTRING (119.915597 42.286824, 119.916683 42.286728)",1,89.97,primary,3,,,,auto,
28,,23,18,14,1,"LINESTRING (119.915597 42.286824, 119.91561 42.286903)",1,8.85,residential,6,,,,auto,
29,,24,20,18,1,"LINESTRING (119.915429 42.286839, 119.915597 42.286824)",1,13.92,primary,3,,,,auto,
30,,25,20,21,1,"LINESTRING (119.915429 42.286839, 119.915404 42.286683)",1,17.47,residential,6,,,,auto,
31,,26,14,22,1,"LINESTRING (119.91561 42.286903, 119.915442 42.286918)",1,13.92,primary,3,,,,auto,
32,,27,22,20,1,"LINESTRING (119.915442 42.286918, 119.915429 42.286839)",1,8.85,residential,6,,,,auto,
33,,28,23,18,1,"LINESTRING (119.915572 42.286666, 119.915597 42.286824)",1,17.69,residential,6,,,,auto,
34,,29,24,25,1,"LINESTRING (119.92184 42.28637, 119.921621 42.286388)",1,18.13,primary,3,,,,auto,
35,,30,24,26,1,"LINESTRING (119.92184 42.28637, 119.922391 42.290818)",1,496.67,residential,6,,,,auto,
36,,30,26,24,1,"LINESTRING (119.922391 42.290818, 119.92184 42.28637)",1,496.67,residential,6,,,,auto,
37,,31,24,2,1,"LINESTRING (119.92184 42.28637, 119.921829 42.286277)",1,10.38,residential,6,,,,auto,
38,,31,2,24,1,"LINESTRING (119.921829 42.286277, 119.92184 42.28637)",1,10.38,residential,6,,,,auto,
39,,32,2,8,1,"LINESTRING (119.921829 42.286277, 119.921874 42.286273)",1,3.73,primary,3,,,,auto,
40,,33,2,24,1,"LINESTRING (119.921829 42.286277, 119.92184 42.28637)",1,10.38,residential,6,,,,auto,
41,,33,24,2,1,"LINESTRING (119.92184 42.28637, 119.921829 42.286277)",1,10.38,residential,6,,,,auto,
42,,34,26,24,1,"LINESTRING (119.922391 42.290818, 119.92184 42.28637)",1,496.67,residential,6,,,,auto,
43,,34,24,26,1,"LINESTRING (119.92184 42.28637, 119.922391 42.290818)",1,496.67,residential,6,,,,auto,
44,,35,25,11,1,"LINESTRING (119.921621 42.286388, 119.918516 42.286651)",1,257.09,primary,3,,,,auto,
45,,38,19,13,1,"LINESTRING (119.916683 42.286728, 119.918387 42.286579)",1,141.15,primary,3,,,,auto,
46,,39,16,27,1,"LINESTRING (119.91926 42.291473, 119.91954 42.293291)",1,203.46,tertiary,5,,,,auto,
47,,40,16,28,1,"LINESTRING (119.91926 42.291473, 119.919143 42.291478)",1,9.64,residential,6,,,,auto,
48,,40,28,16,1,"LINESTRING (119.919143 42.291478, 119.91926 42.291473)",1,9.64,residential,6,,,,auto,
49,,41,28,6,1,"LINESTRING (119.919143 42.291478, 119.918806 42.289292)",1,244.65,tertiary,5,,,,auto,
50,,42,28,16,1,"LINESTRING (119.919143 42.291478, 119.91926 42.291473)",1,9.64,residential,6,,,,auto,
