name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,4260123132,,119.9215980,42.2862970,,,,,
,2,5368819835,,119.9218290,42.2862770,,,,,
,3,5368759654,,119.9167210,42.2884160,,,,,
,4,5368759658,,119.9186440,42.2882450,,,,,
,5,5368759655,,119.9168900,42.2894610,,,,,
,6,5368762858,,119.9188060,42.2892920,,,,,
,7,5368762856,,119.9184000,42.2866610,,,,,
,8,5368762438,,119.9218740,42.2862730,,,,,
,9,5368763479,,119.9220620,42.2862580,,,,,
,10,5368762853,,119.9185030,42.2865690,,,,,
,11,5368762854,,119.9185160,42.2866510,,,,,
,12,5368762862,,119.9188840,42.2890390,,,,,
,13,5368762855,,119.9183870,42.2865790,,,,,
,14,5368762901,,119.9156100,42.2869030,,,,,
,15,5368762857,,119.9189220,42.2892820,,,,,
,16,9981087864,,119.9192600,42.2914730,,,,,
,17,5368762864,,119.9187730,42.2890800,,,,,
,18,5368762899,,119.9155970,42.2868240,,,,,
,19,5369351833,,119.9166830,42.2867280,,,,,
,20,5368762900,,119.9154290,42.2868390,,,,,
,21,5368762906,,119.9154040,42.2866830,,,,,
,22,5368762902,,119.9154420,42.2869180,,,,,
,23,5368762904,,119.9155720,42.2866660,,,,,
,24,5368819834,,119.9218400,42.2863700,,,,,
,25,5368883367,,119.9216210,42.2863880,,,,,
,26,5368819836,,119.9223910,42.2908180,,,,,
,27,10124236089,,119.9195400,42.2932910,,,,,
,28,9981087865,,119.9191430,42.2914780,,,,,
,29,10124236090,,119.9194240,42.2933030,,,,,
