link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,戴家路,0,1,2,1,"LINESTRING (111.465527 27.230783, 111.466175 27.231774)",1,127.47,secondary,4,,2,,auto,
2,戴家路,0,2,1,1,"LINESTRING (111.466175 27.231774, 111.465527 27.230783)",1,127.47,secondary,4,,2,,auto,
3,戴家路,1,2,1,1,"LINESTRING (111.466175 27.231774, 111.465527 27.230783)",1,127.47,secondary,4,,2,,auto,
4,戴家路,1,1,2,1,"LINESTRING (111.465527 27.230783, 111.466175 27.231774)",1,127.47,secondary,4,,2,,auto,
5,戴家路,2,2,3,1,"LINESTRING (111.466175 27.231774, 111.466732 27.233156)",1,163.24,secondary,4,,2,,auto,
6,戴家路,2,3,2,1,"LINESTRING (111.466732 27.233156, 111.466175 27.231774)",1,163.24,secondary,4,,2,,auto,
7,邵水西路,3,4,5,1,"LINESTRING (111.468505 27.233855, 111.468564 27.233699)",1,18.30,tertiary,5,,,,auto,
8,邵水西路,3,5,4,1,"LINESTRING (111.468564 27.233699, 111.468505 27.233855)",1,18.30,tertiary,5,,,,auto,
9,,4,4,6,1,"LINESTRING (111.468505 27.233855, 111.467078 27.233987)",1,141.85,tertiary,5,,,,auto,
10,,4,6,4,1,"LINESTRING (111.467078 27.233987, 111.468505 27.233855)",1,141.85,tertiary,5,,,,auto,
11,戴家路,5,6,3,1,"LINESTRING (111.467078 27.233987, 111.466732 27.233156)",1,98.53,secondary,4,,2,,auto,
12,戴家路,5,3,6,1,"LINESTRING (111.466732 27.233156, 111.467078 27.233987)",1,98.53,secondary,4,,2,,auto,
13,,6,6,4,1,"LINESTRING (111.467078 27.233987, 111.468505 27.233855)",1,141.85,tertiary,5,,,,auto,
14,,6,4,6,1,"LINESTRING (111.468505 27.233855, 111.467078 27.233987)",1,141.85,tertiary,5,,,,auto,
15,,7,7,8,1,"LINESTRING (111.471121 27.22919, 111.471097 27.228956)",1,26.13,residential,6,,,,auto,
16,,7,8,7,1,"LINESTRING (111.471097 27.228956, 111.471121 27.22919)",1,26.13,residential,6,,,,auto,
17,,8,7,9,1,"LINESTRING (111.471121 27.22919, 111.470804 27.229876)",1,82.47,residential,6,,,,auto,
18,,8,9,7,1,"LINESTRING (111.470804 27.229876, 111.471121 27.22919)",1,82.47,residential,6,,,,auto,
19,,9,9,7,1,"LINESTRING (111.470804 27.229876, 111.471121 27.22919)",1,82.47,residential,6,,,,auto,
20,,9,7,9,1,"LINESTRING (111.471121 27.22919, 111.470804 27.229876)",1,82.47,residential,6,,,,auto,
21,,10,9,10,1,"LINESTRING (111.470804 27.229876, 111.470488 27.23042)",1,68.08,residential,6,,,,auto,
22,,10,10,9,1,"LINESTRING (111.470488 27.23042, 111.470804 27.229876)",1,68.08,residential,6,,,,auto,
23,,11,10,9,1,"LINESTRING (111.470488 27.23042, 111.470804 27.229876)",1,68.08,residential,6,,,,auto,
24,,11,9,10,1,"LINESTRING (111.470804 27.229876, 111.470488 27.23042)",1,68.08,residential,6,,,,auto,
25,,12,10,11,1,"LINESTRING (111.470488 27.23042, 111.47008 27.230883)",1,65.40,residential,6,,,,auto,
26,,12,11,10,1,"LINESTRING (111.47008 27.230883, 111.470488 27.23042)",1,65.40,residential,6,,,,auto,
27,,13,11,10,1,"LINESTRING (111.47008 27.230883, 111.470488 27.23042)",1,65.40,residential,6,,,,auto,
28,,13,10,11,1,"LINESTRING (111.470488 27.23042, 111.47008 27.230883)",1,65.40,residential,6,,,,auto,
29,,14,11,12,1,"LINESTRING (111.47008 27.230883, 111.470359 27.23136)",1,59.78,residential,6,,,,auto,
30,,14,12,11,1,"LINESTRING (111.470359 27.23136, 111.47008 27.230883)",1,59.78,residential,6,,,,auto,
