name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,2128753751,,111.4655270,27.2307830,,,,,
,2,2128753792,,111.4661750,27.2317740,,,,,
,3,7919713704,,111.4667320,27.2331560,,,,,
,4,4076134965,,111.4685050,27.2338550,,,,,
,5,11383183094,,111.4685640,27.2336990,,,,,
,6,4076134966,,111.4670780,27.2339870,,,,,
,7,7917399272,,111.4711210,27.2291900,,,,,
,8,9330108204,,111.4710970,27.2289560,,,,,
,9,7917399273,,111.4708040,27.2298760,,,,,
,10,7917399274,,111.4704880,27.2304200,,,,,
,11,7917399275,,111.4700800,27.2308830,,,,,
,12,7917399276,,111.4703590,27.2313600,,,,,
,13,7917399277,,111.4704450,27.2316220,,,,,
,14,7917399278,,111.4703960,27.2321470,,,,,
,15,7919713686,,111.4707950,27.2321140,,,,,
,16,7917399279,,111.4701260,27.2322600,,,,,
,17,11383183095,,111.4698040,27.2324300,,,,,
,18,7917399280,,111.4695410,27.2326010,,,,,
,19,7917399281,,111.4693010,27.2327670,,,,,
,20,7917399282,,111.4691080,27.2329170,,,,,
,21,7917399283,,111.4688640,27.2331900,,,,,
,22,7919713695,,111.4714210,27.2321280,,,,,
,23,7919713691,,111.4747590,27.2316750,,,,,
,24,7919713692,,111.4741580,27.2321000,,,,,
,25,7919713693,,111.4734440,27.2323950,,,,,
,26,7919713694,,111.4726980,27.2323950,,,,,
,27,8680882669,,111.4748290,27.2302380,,,,,
,28,8680882670,,111.4725270,27.2291370,,,,,
,29,8680882671,,111.4719570,27.2287600,,,,,
,30,8680882672,,111.4716020,27.2285270,,,,,
,31,8680882673,,111.4711960,27.2281660,,,,,
,32,8680882674,,111.4691360,27.2261850,,,,,
,33,8680882675,,111.4687400,27.2258150,,,,,
