link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,昭乌达路,0,1,2,1,"LINESTRING (111.689787 40.806668, 111.688493 40.809561)",1,339.62,primary,3,,,,auto,
2,昭乌达路,1,3,4,1,"LINESTRING (111.688306 40.809505, 111.689448 40.806927)",1,302.34,primary,3,,,,auto,
3,昭乌达路,2,2,5,1,"LINESTRING (111.688493 40.809561, 111.688326 40.809919)",1,42.22,primary,3,,,,auto,
4,昭乌达路,3,5,6,1,"LINESTRING (111.688326 40.809919, 111.688289 40.810018)",1,11.44,primary,3,,,,auto,
5,大学东街,4,5,7,1,"LINESTRING (111.688326 40.809919, 111.691375 40.810692)",1,270.62,secondary,4,,2,,auto,
6,昭乌达路,5,8,3,1,"LINESTRING (111.68814 40.80988, 111.688306 40.809505)",1,43.98,primary,3,,,,auto,
7,大学西街,6,8,5,1,"LINESTRING (111.68814 40.80988, 111.688326 40.809919)",1,16.24,secondary,4,,2,,auto,
8,,7,9,10,1,"LINESTRING (111.691271 40.8145, 111.689942 40.814206)",1,116.52,tertiary,5,,,,auto,
9,,7,10,9,1,"LINESTRING (111.689942 40.814206, 111.691271 40.8145)",1,116.52,tertiary,5,,,,auto,
10,昭乌达路,8,11,12,1,"LINESTRING (111.68705 40.812163, 111.687254 40.811708)",1,53.43,primary,3,,,,auto,
11,昭乌达路,11,13,11,1,"LINESTRING (111.686475 40.813428, 111.68705 40.812163)",1,148.75,primary,3,,,,auto,
12,,12,13,14,1,"LINESTRING (111.686475 40.813428, 111.686731 40.813495)",1,22.80,tertiary,5,,,,auto,
13,,12,14,13,1,"LINESTRING (111.686731 40.813495, 111.686475 40.813428)",1,22.80,tertiary,5,,,,auto,
14,昭乌达路,13,15,14,1,"LINESTRING (111.687281 40.81222, 111.686731 40.813495)",1,149.14,primary,3,,,,auto,
15,,15,14,16,1,"LINESTRING (111.686731 40.813495, 111.687074 40.813572)",1,30.11,tertiary,5,,,,auto,
16,,15,16,14,1,"LINESTRING (111.687074 40.813572, 111.686731 40.813495)",1,30.11,tertiary,5,,,,auto,
17,,16,14,13,1,"LINESTRING (111.686731 40.813495, 111.686475 40.813428)",1,22.80,tertiary,5,,,,auto,
18,,16,13,14,1,"LINESTRING (111.686475 40.813428, 111.686731 40.813495)",1,22.80,tertiary,5,,,,auto,
19,,17,16,10,1,"LINESTRING (111.687074 40.813572, 111.689942 40.814206)",1,251.45,tertiary,5,,,,auto,
20,,17,10,16,1,"LINESTRING (111.689942 40.814206, 111.687074 40.813572)",1,251.45,tertiary,5,,,,auto,
21,,18,16,14,1,"LINESTRING (111.687074 40.813572, 111.686731 40.813495)",1,30.11,tertiary,5,,,,auto,
22,,18,14,16,1,"LINESTRING (111.686731 40.813495, 111.687074 40.813572)",1,30.11,tertiary,5,,,,auto,
23,制片厂巷,19,17,18,1,"LINESTRING (111.694758 40.811974, 111.694763 40.811681)",1,32.58,residential,6,,,,auto,
24,制片厂巷,19,18,17,1,"LINESTRING (111.694763 40.811681, 111.694758 40.811974)",1,32.58,residential,6,,,,auto,
25,制片厂巷,20,19,20,1,"LINESTRING (111.696979 40.806719, 111.694808 40.81158)",1,570.57,residential,6,,,,auto,
26,制片厂巷,20,20,19,1,"LINESTRING (111.694808 40.81158, 111.696979 40.806719)",1,570.57,residential,6,,,,auto,
27,制片厂巷,21,20,18,1,"LINESTRING (111.694808 40.81158, 111.694763 40.811681)",1,11.85,residential,6,,,,auto,
28,制片厂巷,21,18,20,1,"LINESTRING (111.694763 40.811681, 111.694808 40.81158)",1,11.85,residential,6,,,,auto,
29,制片厂巷,22,20,19,1,"LINESTRING (111.694808 40.81158, 111.696979 40.806719)",1,570.57,residential,6,,,,auto,
30,制片厂巷,22,19,20,1,"LINESTRING (111.696979 40.806719, 111.694808 40.81158)",1,570.57,residential,6,,,,auto,
31,,23,21,22,1,"LINESTRING (111.687108 40.806883, 111.686164 40.809348)",1,285.38,unclassified,20,,,,auto,
32,,23,22,21,1,"LINESTRING (111.686164 40.809348, 111.687108 40.806883)",1,285.38,unclassified,20,,,,auto,
33,大学西街,24,22,8,1,"LINESTRING (111.686164 40.809348, 111.68814 40.80988)",1,176.51,secondary,4,,2,,auto,
34,,25,22,21,1,"LINESTRING (111.686164 40.809348, 111.687108 40.806883)",1,285.38,unclassified,20,,,,auto,
35,,25,21,22,1,"LINESTRING (111.687108 40.806883, 111.686164 40.809348)",1,285.38,unclassified,20,,,,auto,
36,,26,7,23,1,"LINESTRING (111.691375 40.810692, 111.691333 40.810794)",1,11.88,unclassified,20,,,,auto,
37,,26,23,7,1,"LINESTRING (111.691333 40.810794, 111.691375 40.810692)",1,11.88,unclassified,20,,,,auto,
38,大学东街,27,7,20,1,"LINESTRING (111.691375 40.810692, 111.694808 40.81158)",1,305.33,secondary,4,,2,,auto,
39,,39,10,9,1,"LINESTRING (111.689942 40.814206, 111.691271 40.8145)",1,116.52,tertiary,5,,,,auto,
40,,39,9,10,1,"LINESTRING (111.691271 40.8145, 111.689942 40.814206)",1,116.52,tertiary,5,,,,auto,
41,,40,10,16,1,"LINESTRING (111.689942 40.814206, 111.687074 40.813572)",1,251.45,tertiary,5,,,,auto,
42,,40,16,10,1,"LINESTRING (111.687074 40.813572, 111.689942 40.814206)",1,251.45,tertiary,5,,,,auto,
43,,41,10,24,1,"LINESTRING (111.689942 40.814206, 111.690536 40.812746)",1,169.87,unclassified,20,,,,auto,
44,,41,24,10,1,"LINESTRING (111.690536 40.812746, 111.689942 40.814206)",1,169.87,unclassified,20,,,,auto,
45,,44,25,24,1,"LINESTRING (111.688964 40.812271, 111.690536 40.812746)",1,142.45,residential,6,,,,auto,
46,,44,24,25,1,"LINESTRING (111.690536 40.812746, 111.688964 40.812271)",1,142.45,residential,6,,,,auto,
47,,45,24,23,1,"LINESTRING (111.690536 40.812746, 111.691333 40.810794)",1,227.18,unclassified,20,,,,auto,
48,,45,23,24,1,"LINESTRING (111.691333 40.810794, 111.690536 40.812746)",1,227.18,unclassified,20,,,,auto,
49,,46,24,10,1,"LINESTRING (111.690536 40.812746, 111.689942 40.814206)",1,169.87,unclassified,20,,,,auto,
50,,46,10,24,1,"LINESTRING (111.689942 40.814206, 111.690536 40.812746)",1,169.87,unclassified,20,,,,auto,
51,,47,24,25,1,"LINESTRING (111.690536 40.812746, 111.688964 40.812271)",1,142.45,residential,6,,,,auto,
52,,47,25,24,1,"LINESTRING (111.688964 40.812271, 111.690536 40.812746)",1,142.45,residential,6,,,,auto,
53,昭乌达路,51,6,26,1,"LINESTRING (111.688289 40.810018, 111.687466 40.811783)",1,208.12,primary,3,,,,auto,
54,大学西街,52,6,27,1,"LINESTRING (111.688289 40.810018, 111.688099 40.809953)",1,17.55,secondary,4,,2,,auto,
55,制片厂巷,53,18,17,1,"LINESTRING (111.694763 40.811681, 111.694758 40.811974)",1,32.58,residential,6,,,,auto,
56,制片厂巷,53,17,18,1,"LINESTRING (111.694758 40.811974, 111.694763 40.811681)",1,32.58,residential,6,,,,auto,
57,制片厂巷,54,18,20,1,"LINESTRING (111.694763 40.811681, 111.694808 40.81158)",1,11.85,residential,6,,,,auto,
58,制片厂巷,54,20,18,1,"LINESTRING (111.694808 40.81158, 111.694763 40.811681)",1,11.85,residential,6,,,,auto,
59,大学东街,55,18,23,1,"LINESTRING (111.694763 40.811681, 111.691333 40.810794)",1,305.05,secondary,4,,2,,auto,
60,,56,23,7,1,"LINESTRING (111.691333 40.810794, 111.691375 40.810692)",1,11.88,unclassified,20,,,,auto,
61,,56,7,23,1,"LINESTRING (111.691375 40.810692, 111.691333 40.810794)",1,11.88,unclassified,20,,,,auto,
62,,57,23,24,1,"LINESTRING (111.691333 40.810794, 111.690536 40.812746)",1,227.18,unclassified,20,,,,auto,
63,,57,24,23,1,"LINESTRING (111.690536 40.812746, 111.691333 40.810794)",1,227.18,unclassified,20,,,,auto,
64,大学东街,58,23,28,1,"LINESTRING (111.691333 40.810794, 111.688534 40.810081)",1,248.55,secondary,4,,2,,auto,
65,昭乌达路,59,27,8,1,"LINESTRING (111.688099 40.809953, 111.68814 40.80988)",1,8.82,primary,3,,,,auto,
66,大学西街,60,27,29,1,"LINESTRING (111.688099 40.809953, 111.687912 40.809904)",1,16.65,secondary,4,,2,,auto,
67,昭乌达路,61,26,15,1,"LINESTRING (111.687466 40.811783, 111.687281 40.81222)",1,51.03,primary,3,,,,auto,
68,昭乌达路,62,12,27,1,"LINESTRING (111.687254 40.811708, 111.688099 40.809953)",1,207.70,primary,3,,,,auto,
69,大学西街,76,29,30,1,"LINESTRING (111.687912 40.809904, 111.68612 40.80945)",1,159.04,secondary,4,,2,,auto,
70,大学东街,77,31,6,1,"LINESTRING (111.688394 40.810045, 111.688289 40.810018)",1,9.33,secondary,4,,2,,auto,
