name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,1444390171,,111.6897870,40.8066680,,,,,
,2,1444390198,,111.6884930,40.8095610,,,,,
,3,1444390197,,111.6883060,40.8095050,,,,,
,4,11515665749,,111.6894480,40.8069270,,,,,
,5,1480090781,,111.6883260,40.8099190,,,,,
,6,3909145210,,111.6882890,40.8100180,,,,,
,7,3706176473,,111.6913750,40.8106920,,,,,
,8,1480090859,,111.6881400,40.8098800,,,,,
,9,1494141951,,111.6912710,40.8145000,,,,,
,10,3706177440,,111.6899420,40.8142060,,,,,
,11,1494141972,,111.6870500,40.8121630,,,,,
,12,4452630277,,111.6872540,40.8117080,,,,,
,13,1494142057,,111.6864750,40.8134280,,,,,
,14,1494142092,,111.6867310,40.8134950,,,,,
,15,1494142064,,111.6872810,40.8122200,,,,,
,16,1494142175,,111.6870740,40.8135720,,,,,
,17,1494144687,,111.6947580,40.8119740,,,,,
,18,3909145248,,111.6947630,40.8116810,,,,,
,19,1494144689,,111.6969790,40.8067190,,,,,
,20,1494144691,,111.6948080,40.8115800,,,,,
,21,1497287865,,111.6871080,40.8068830,,,,,
,22,1497287925,,111.6861640,40.8093480,,,,,
,23,3909145250,,111.6913330,40.8107940,,,,,
,24,3706191789,,111.6905360,40.8127460,,,,,
,25,3706191788,,111.6889640,40.8122710,,,,,
,26,4452630275,,111.6874660,40.8117830,,,,,
,27,3909145476,,111.6880990,40.8099530,,,,,
,28,11515665744,,111.6885340,40.8100810,,,,,
,29,11515665742,,111.6879120,40.8099040,,,,,
,30,3909145479,,111.6861200,40.8094500,,,,,
,31,11515665743,,111.6883940,40.8100450,,,,,
,32,11515665748,,111.6859680,40.8145030,,,,,
