link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,澧阳东路,0,1,2,1,"LINESTRING (111.394342 29.599982, 111.39704 29.598701)",1,297.21,primary,3,,,,auto,
2,澧阳东路,1,2,3,1,"LINESTRING (111.39704 29.598701, 111.398163 29.598098)",1,127.61,primary,3,,,,auto,
3,澧阳东路,2,4,5,1,"LINESTRING (111.392626 29.600811, 111.393411 29.600457)",1,85.50,primary,3,,,,auto,
4,澧阳东路,3,6,4,1,"LINESTRING (111.392137 29.601, 111.392626 29.600811)",1,51.74,primary,3,,,,auto,
5,澧阳东路,4,7,6,1,"LINESTRING (111.391894 29.601051, 111.392137 29.601)",1,24.17,primary,3,,,,auto,
6,澧阳东路,5,8,9,1,"LINESTRING (111.391357 29.601045, 111.391802 29.60105)",1,43.03,primary,3,,,,auto,
7,红土坡路,6,8,10,1,"LINESTRING (111.391357 29.601045, 111.391342 29.601087)",1,4.89,tertiary,5,,,,auto,
8,红土坡路,6,10,8,1,"LINESTRING (111.391342 29.601087, 111.391357 29.601045)",1,4.89,tertiary,5,,,,auto,
9,澧滨路,7,11,12,1,"LINESTRING (111.391401 29.599919, 111.392158 29.599993)",1,73.65,tertiary,5,,,,auto,
10,澧滨路,7,12,11,1,"LINESTRING (111.392158 29.599993, 111.391401 29.599919)",1,73.65,tertiary,5,,,,auto,
11,澧滨路,8,11,13,1,"LINESTRING (111.391401 29.599919, 111.390767 29.599704)",1,65.79,tertiary,5,,,,auto,
12,澧滨路,8,13,11,1,"LINESTRING (111.390767 29.599704, 111.391401 29.599919)",1,65.79,tertiary,5,,,,auto,
13,澧滨路,9,14,5,1,"LINESTRING (111.393124 29.600087, 111.393411 29.600457)",1,49.62,tertiary,5,,,,auto,
14,澧滨路,9,5,14,1,"LINESTRING (111.393411 29.600457, 111.393124 29.600087)",1,49.62,tertiary,5,,,,auto,
15,澧滨路,10,14,12,1,"LINESTRING (111.393124 29.600087, 111.392158 29.599993)",1,93.98,tertiary,5,,,,auto,
