name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,3696875148,,111.3943420,29.5999820,,,,,
,2,4811214401,,111.3970400,29.5987010,,,,,
,3,4866743564,,111.3981630,29.5980980,,,,,
,4,4811214402,,111.3926260,29.6008110,,,,,
,5,4812522537,,111.3934110,29.6004570,,,,,
,6,4811214403,,111.3921370,29.6010000,,,,,
,7,4811214404,,111.3918940,29.6010510,,,,,
,8,4811214405,signal,111.3913570,29.6010450,,,,,
,9,12460439279,,111.3918020,29.6010500,,,,,
,10,4866743506,,111.3913420,29.6010870,,,,,
,11,4812522535,,111.3914010,29.5999190,,,,,
,12,12460439278,,111.3921580,29.5999930,,,,,
,13,4940736807,,111.3907670,29.5997040,,,,,
,14,4812522536,,111.3931240,29.6000870,,,,,
,15,4866743538,,111.3934650,29.6005070,,,,,
,16,4838264858,,111.3927680,29.6018580,,,,,
,17,4838264865,,111.3923150,29.6020240,,,,,
,18,4838264859,,111.3935140,29.6015790,,,,,
,19,4838264866,,111.3938410,29.6014830,,,,,
,20,4838264860,,111.3914320,29.6012370,,,,,
,21,4940736795,,111.3915430,29.6013660,,,,,
,22,4838264861,,111.3915420,29.6014770,,,,,
,23,4838264862,,111.3916610,29.6017890,,,,,
,24,4984639319,,111.3904990,29.6014580,,,,,
,25,4838264863,,111.3917920,29.6019840,,,,,
,26,4838264864,,111.3920270,29.6020590,,,,,
,27,4838264867,,111.3939980,29.6014780,,,,,
,28,4838264868,,111.3941860,29.6014930,,,,,
,29,4838264869,,111.3943400,29.6015310,,,,,
,30,4838264870,,111.3949150,29.6019340,,,,,
,31,4838264871,,111.3950420,29.6020700,,,,,
,32,4838264872,,111.3951000,29.6022730,,,,,
,33,4866742850,,111.3907600,29.6008960,,,,,
,34,4866743503,,111.3982450,29.5981570,,,,,
,35,4866743504,,111.3970800,29.5987700,,,,,
,36,4866743505,,111.3943820,29.6000750,,,,,
,37,4866743542,,111.3908050,29.6009810,,,,,
,38,4866743539,,111.3926520,29.6008660,,,,,
,39,4866743540,,111.3921280,29.6010590,,,,,
,40,4866743541,,111.3918880,29.6011230,,,,,
,41,4940736794,,111.3916880,29.6011860,,,,,
,42,4940736809,,111.3903690,29.6009000,,,,,
,43,5008755516,,111.3992160,29.5972910,,,,,
,44,4940736771,,111.3893490,29.6005930,,,,,
,45,4940736808,,111.3903880,29.6008230,,,,,
,46,4940736803,,111.3894340,29.6013620,,,,,
,47,4940736810,,111.3892690,29.5987930,,,,,
,48,4940736812,,111.3893560,29.6006870,,,,,
,49,5008755515,,111.3992700,29.5973560,,,,,
