name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,733788184,,116.3994320,39.9107670,,,,,
,2,733788474,,116.3989980,39.9107680,,,,,
,3,733788263,,116.3969070,39.9102530,,,,,
,4,5908244201,,116.3968870,39.9106430,,,,,
,5,733788794,,116.3969440,39.9094920,,,,,
,6,733788292,,116.3969580,39.9092120,,,,,
,7,733789032,,116.3970140,39.9080700,,,,,
,8,733789098,,116.3984880,39.9107600,,,,,
,9,733788681,,116.3985040,39.9103470,,,,,
,10,733788691,,116.3984820,39.9108460,,,,,
,11,6448666076,,116.3970230,39.9078990,,,,,
,12,733789295,,116.3970390,39.9075740,,,,,
,13,6448666067,,116.3970480,39.9073950,,,,,
