link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,南河沿大街,0,1,2,1,"LINESTRING (116.400416 39.906864, 116.40043 39.907258)",1,43.83,secondary,4,,,,auto,
2,南河沿大街,0,2,1,1,"LINESTRING (116.40043 39.907258, 116.400416 39.906864)",1,43.83,secondary,4,,,,auto,
3,南河沿大街,1,1,3,1,"LINESTRING (116.400416 39.906864, 116.400414 39.906809)",1,6.12,secondary,4,,,,auto,
4,南河沿大街,1,3,1,1,"LINESTRING (116.400414 39.906809, 116.400416 39.906864)",1,6.12,secondary,4,,,,auto,
5,南河沿大街,2,4,5,1,"LINESTRING (116.400542 39.911615, 116.400577 39.910729)",1,98.56,secondary,4,,,,auto,
6,南河沿大街,2,5,4,1,"LINESTRING (116.400577 39.910729, 116.400542 39.911615)",1,98.56,secondary,4,,,,auto,
7,东皇城门南街,3,6,7,1,"LINESTRING (116.400572 39.910653, 116.400708 39.910656)",1,11.60,unclassified,20,,,,auto,
8,南河沿大街,4,6,5,1,"LINESTRING (116.400572 39.910653, 116.400577 39.910729)",1,8.46,secondary,4,,,,auto,
9,南河沿大街,4,5,6,1,"LINESTRING (116.400577 39.910729, 116.400572 39.910653)",1,8.46,secondary,4,,,,auto,
10,南河沿大街,5,6,8,1,"LINESTRING (116.400572 39.910653, 116.400572 39.910592)",1,6.78,secondary,4,,,,auto,
11,南河沿大街,5,8,6,1,"LINESTRING (116.400572 39.910592, 116.400572 39.910653)",1,6.78,secondary,4,,,,auto,
12,东长安街,6,9,10,1,"LINESTRING (116.397381 39.90653, 116.397096 39.906522)",1,24.33,trunk,2,,5,,auto,
13,南河沿大街,10,11,12,1,"LINESTRING (116.400507 39.908388, 116.400515 39.908523)",1,15.03,secondary,4,,,,auto,
14,南河沿大街,10,12,11,1,"LINESTRING (116.400515 39.908523, 116.400507 39.908388)",1,15.03,secondary,4,,,,auto,
15,南河沿大街,11,11,13,1,"LINESTRING (116.400507 39.908388, 116.400504 39.908211)",1,19.68,secondary,4,,,,auto,
16,南河沿大街,11,13,11,1,"LINESTRING (116.400504 39.908211, 116.400507 39.908388)",1,19.68,secondary,4,,,,auto,
17,南河沿大街,12,13,11,1,"LINESTRING (116.400504 39.908211, 116.400507 39.908388)",1,19.68,secondary,4,,,,auto,
18,南河沿大街,12,11,13,1,"LINESTRING (116.400507 39.908388, 116.400504 39.908211)",1,19.68,secondary,4,,,,auto,
19,南河沿大街,13,13,14,1,"LINESTRING (116.400504 39.908211, 116.400449 39.907491)",1,80.20,secondary,4,,,,auto,
20,南河沿大街,13,14,13,1,"LINESTRING (116.400449 39.907491, 116.400504 39.908211)",1,80.20,secondary,4,,,,auto,
21,,17,15,16,1,"LINESTRING (116.399432 39.910767, 116.399425 39.911201)",1,48.26,residential,6,,,,auto,
22,,17,16,15,1,"LINESTRING (116.399425 39.911201, 116.399432 39.910767)",1,48.26,residential,6,,,,auto,
23,,18,15,17,1,"LINESTRING (116.399432 39.910767, 116.398998 39.910768)",1,37.02,residential,6,,,,auto,
24,,18,17,15,1,"LINESTRING (116.398998 39.910768, 116.399432 39.910767)",1,37.02,residential,6,,,,auto,
25,南池子大街,22,18,19,1,"LINESTRING (116.396907 39.910253, 116.396887 39.910643)",1,43.40,tertiary,5,,1,,auto,
26,南池子大街,22,19,18,1,"LINESTRING (116.396887 39.910643, 116.396907 39.910253)",1,43.40,tertiary,5,,1,,auto,
27,南池子大街,23,18,20,1,"LINESTRING (116.396907 39.910253, 116.396944 39.909492)",1,84.68,tertiary,5,,1,,auto,
28,南池子大街,23,20,18,1,"LINESTRING (116.396944 39.909492, 116.396907 39.910253)",1,84.68,tertiary,5,,1,,auto,
29,南池子大街,25,21,20,1,"LINESTRING (116.396958 39.909212, 116.396944 39.909492)",1,31.16,tertiary,5,,1,,auto,
30,南池子大街,25,20,21,1,"LINESTRING (116.396944 39.909492, 116.396958 39.909212)",1,31.16,tertiary,5,,1,,auto,
31,南池子大街,26,21,22,1,"LINESTRING (116.396958 39.909212, 116.397014 39.90807)",1,127.07,tertiary,5,,1,,auto,
32,南池子大街,26,22,21,1,"LINESTRING (116.397014 39.90807, 116.396958 39.909212)",1,127.07,tertiary,5,,1,,auto,
33,普渡寺前巷,29,23,24,1,"LINESTRING (116.398989 39.911474, 116.398625 39.91145)",1,31.16,residential,6,,,,auto,
34,普渡寺前巷,29,24,23,1,"LINESTRING (116.398625 39.91145, 116.398989 39.911474)",1,31.16,residential,6,,,,auto,
35,,30,23,25,1,"LINESTRING (116.398989 39.911474, 116.398994 39.911202)",1,30.25,residential,6,,,,auto,
36,,30,25,23,1,"LINESTRING (116.398994 39.911202, 116.398989 39.911474)",1,30.25,residential,6,,,,auto,
37,,31,23,26,1,"LINESTRING (116.398989 39.911474, 116.39901 39.91155)",1,8.64,residential,6,,,,auto,
38,,31,26,23,1,"LINESTRING (116.39901 39.91155, 116.398989 39.911474)",1,8.64,residential,6,,,,auto,
39,普渡寺前巷,35,27,28,1,"LINESTRING (116.396825 39.911373, 116.397226 39.911388)",1,34.24,residential,6,,,,auto,
40,普渡寺前巷,35,28,27,1,"LINESTRING (116.397226 39.911388, 116.396825 39.911373)",1,34.24,residential,6,,,,auto,
41,南池子大街,36,27,19,1,"LINESTRING (116.396825 39.911373, 116.396887 39.910643)",1,81.34,tertiary,5,,1,,auto,
42,南池子大街,36,19,27,1,"LINESTRING (116.396887 39.910643, 116.396825 39.911373)",1,81.34,tertiary,5,,1,,auto,
43,,37,17,29,1,"LINESTRING (116.398998 39.910768, 116.398488 39.91076)",1,43.51,residential,6,,,,auto,
44,,37,29,17,1,"LINESTRING (116.398488 39.91076, 116.398998 39.910768)",1,43.51,residential,6,,,,auto,
45,,38,17,25,1,"LINESTRING (116.398998 39.910768, 116.398994 39.911202)",1,48.26,residential,6,,,,auto,
46,,38,25,17,1,"LINESTRING (116.398994 39.911202, 116.398998 39.910768)",1,48.26,residential,6,,,,auto,
47,,39,17,15,1,"LINESTRING (116.398998 39.910768, 116.399432 39.910767)",1,37.02,residential,6,,,,auto,
48,,39,15,17,1,"LINESTRING (116.399432 39.910767, 116.398998 39.910768)",1,37.02,residential,6,,,,auto,
49,,46,30,29,1,"LINESTRING (116.398504 39.910347, 116.398488 39.91076)",1,45.94,residential,6,,,,auto,
50,,46,29,30,1,"LINESTRING (116.398488 39.91076, 116.398504 39.910347)",1,45.94,residential,6,,,,auto,
51,,49,31,29,1,"LINESTRING (116.398482 39.910846, 116.398488 39.91076)",1,9.58,residential,6,,,,auto,
52,,49,29,31,1,"LINESTRING (116.398488 39.91076, 116.398482 39.910846)",1,9.58,residential,6,,,,auto,
53,,50,31,32,1,"LINESTRING (116.398482 39.910846, 116.398476 39.911444)",1,66.50,residential,6,,,,auto,
54,,50,32,31,1,"LINESTRING (116.398476 39.911444, 116.398482 39.910846)",1,66.50,residential,6,,,,auto,
55,南池子大街,55,20,18,1,"LINESTRING (116.396944 39.909492, 116.396907 39.910253)",1,84.68,tertiary,5,,1,,auto,
56,南池子大街,55,18,20,1,"LINESTRING (116.396907 39.910253, 116.396944 39.909492)",1,84.68,tertiary,5,,1,,auto,
57,南池子大街,56,20,21,1,"LINESTRING (116.396944 39.909492, 116.396958 39.909212)",1,31.16,tertiary,5,,1,,auto,
58,南池子大街,56,21,20,1,"LINESTRING (116.396958 39.909212, 116.396944 39.909492)",1,31.16,tertiary,5,,1,,auto,
59,普渡寺前巷,57,32,33,1,"LINESTRING (116.398476 39.911444, 116.398317 39.911437)",1,13.58,residential,6,,,,auto,
60,普渡寺前巷,57,33,32,1,"LINESTRING (116.398317 39.911437, 116.398476 39.911444)",1,13.58,residential,6,,,,auto,
61,普渡寺前巷,58,32,24,1,"LINESTRING (116.398476 39.911444, 116.398625 39.91145)",1,12.73,residential,6,,,,auto,
62,普渡寺前巷,58,24,32,1,"LINESTRING (116.398625 39.91145, 116.398476 39.911444)",1,12.73,residential,6,,,,auto,
63,,59,32,31,1,"LINESTRING (116.398476 39.911444, 116.398482 39.910846)",1,66.50,residential,6,,,,auto,
64,,59,31,32,1,"LINESTRING (116.398482 39.910846, 116.398476 39.911444)",1,66.50,residential,6,,,,auto,
65,普渡寺前巷,68,34,28,1,"LINESTRING (116.397947 39.91142, 116.397226 39.911388)",1,61.60,residential,6,,,,auto,
66,普渡寺前巷,68,28,34,1,"LINESTRING (116.397226 39.911388, 116.397947 39.91142)",1,61.60,residential,6,,,,auto,
67,普渡寺前巷,69,34,33,1,"LINESTRING (116.397947 39.91142, 116.398317 39.911437)",1,31.61,residential,6,,,,auto,
68,普渡寺前巷,69,33,34,1,"LINESTRING (116.398317 39.911437, 116.397947 39.91142)",1,31.61,residential,6,,,,auto,
69,普渡寺前巷,72,28,27,1,"LINESTRING (116.397226 39.911388, 116.396825 39.911373)",1,34.24,residential,6,,,,auto,
70,普渡寺前巷,72,27,28,1,"LINESTRING (116.396825 39.911373, 116.397226 39.911388)",1,34.24,residential,6,,,,auto,
71,普渡寺前巷,73,28,34,1,"LINESTRING (116.397226 39.911388, 116.397947 39.91142)",1,61.60,residential,6,,,,auto,
72,普渡寺前巷,73,34,28,1,"LINESTRING (116.397947 39.91142, 116.397226 39.911388)",1,61.60,residential,6,,,,auto,
73,,74,28,35,1,"LINESTRING (116.397226 39.911388, 116.397271 39.91083)",1,62.17,residential,6,,,,auto,
74,,74,35,28,1,"LINESTRING (116.397271 39.91083, 116.397226 39.911388)",1,62.17,residential,6,,,,auto,
75,南池子大街,76,22,21,1,"LINESTRING (116.397014 39.90807, 116.396958 39.909212)",1,127.07,tertiary,5,,1,,auto,
76,南池子大街,76,21,22,1,"LINESTRING (116.396958 39.909212, 116.397014 39.90807)",1,127.07,tertiary,5,,1,,auto,
77,南池子大街,77,22,36,1,"LINESTRING (116.397014 39.90807, 116.397023 39.907899)",1,19.03,tertiary,5,,1,,auto,
78,南池子大街,77,36,22,1,"LINESTRING (116.397023 39.907899, 116.397014 39.90807)",1,19.03,tertiary,5,,1,,auto,
79,,81,29,17,1,"LINESTRING (116.398488 39.91076, 116.398998 39.910768)",1,43.51,residential,6,,,,auto,
80,,81,17,29,1,"LINESTRING (116.398998 39.910768, 116.398488 39.91076)",1,43.51,residential,6,,,,auto,
81,,82,29,30,1,"LINESTRING (116.398488 39.91076, 116.398504 39.910347)",1,45.94,residential,6,,,,auto,
82,,82,30,29,1,"LINESTRING (116.398504 39.910347, 116.398488 39.91076)",1,45.94,residential,6,,,,auto,
83,,83,29,31,1,"LINESTRING (116.398488 39.91076, 116.398482 39.910846)",1,9.58,residential,6,,,,auto,
84,,83,31,29,1,"LINESTRING (116.398482 39.910846, 116.398488 39.91076)",1,9.58,residential,6,,,,auto,
85,,84,35,28,1,"LINESTRING (116.397271 39.91083, 116.397226 39.911388)",1,62.17,residential,6,,,,auto,
86,,84,28,35,1,"LINESTRING (116.397226 39.911388, 116.397271 39.91083)",1,62.17,residential,6,,,,auto,
87,,88,26,23,1,"LINESTRING (116.39901 39.91155, 116.398989 39.911474)",1,8.64,residential,6,,,,auto,
88,,88,23,26,1,"LINESTRING (116.398989 39.911474, 116.39901 39.91155)",1,8.64,residential,6,,,,auto,
89,,89,26,37,1,"LINESTRING (116.39901 39.91155, 116.399044 39.911646)",1,11.06,residential,6,,,,auto,
90,,89,37,26,1,"LINESTRING (116.399044 39.911646, 116.39901 39.91155)",1,11.06,residential,6,,,,auto,
91,南池子大街,91,38,36,1,"LINESTRING (116.397039 39.907574, 116.397023 39.907899)",1,36.16,tertiary,5,,1,,auto,
92,南池子大街,91,36,38,1,"LINESTRING (116.397023 39.907899, 116.397039 39.907574)",1,36.16,tertiary,5,,1,,auto,
93,南池子大街,92,38,39,1,"LINESTRING (116.397039 39.907574, 116.397048 39.907395)",1,19.92,tertiary,5,,1,,auto,
94,南池子大街,92,39,38,1,"LINESTRING (116.397048 39.907395, 116.397039 39.907574)",1,19.92,tertiary,5,,1,,auto,
95,南河沿大街,94,40,41,1,"LINESTRING (116.400568 39.90963, 116.400558 39.90982)",1,21.14,secondary,4,,,,auto,
96,南河沿大街,94,41,40,1,"LINESTRING (116.400558 39.90982, 116.400568 39.90963)",1,21.14,secondary,4,,,,auto,
97,南河沿大街,95,40,42,1,"LINESTRING (116.400568 39.90963, 116.40056 39.909417)",1,23.69,secondary,4,,,,auto,
98,南河沿大街,95,42,40,1,"LINESTRING (116.40056 39.909417, 116.400568 39.90963)",1,23.69,secondary,4,,,,auto,
99,南河沿大街,96,43,8,1,"LINESTRING (116.400567 39.910184, 116.400572 39.910592)",1,45.37,secondary,4,,,,auto,
100,南河沿大街,96,8,43,1,"LINESTRING (116.400572 39.910592, 116.400567 39.910184)",1,45.37,secondary,4,,,,auto,
101,南河沿大街,97,43,41,1,"LINESTRING (116.400567 39.910184, 116.400558 39.90982)",1,40.48,secondary,4,,,,auto,
102,南河沿大街,97,41,43,1,"LINESTRING (116.400558 39.90982, 116.400567 39.910184)",1,40.48,secondary,4,,,,auto,
103,南池子大街,100,44,45,1,"LINESTRING (116.397066 39.907018, 116.397056 39.907228)",1,23.37,tertiary,5,,1,,auto,
104,南池子大街,100,45,44,1,"LINESTRING (116.397056 39.907228, 116.397066 39.907018)",1,23.37,tertiary,5,,1,,auto,
105,南池子大街,101,44,46,1,"LINESTRING (116.397066 39.907018, 116.397071 39.906928)",1,10.02,tertiary,5,,1,,auto,
106,南池子大街,101,46,44,1,"LINESTRING (116.397071 39.906928, 116.397066 39.907018)",1,10.02,tertiary,5,,1,,auto,
107,南池子大街,120,45,47,1,"LINESTRING (116.397056 39.907228, 116.397051 39.907336)",1,12.02,tertiary,5,,1,,auto,
108,南池子大街,120,47,45,1,"LINESTRING (116.397051 39.907336, 116.397056 39.907228)",1,12.02,tertiary,5,,1,,auto,
109,南池子大街,121,45,44,1,"LINESTRING (116.397056 39.907228, 116.397066 39.907018)",1,23.37,tertiary,5,,1,,auto,
110,南池子大街,121,44,45,1,"LINESTRING (116.397066 39.907018, 116.397056 39.907228)",1,23.37,tertiary,5,,1,,auto,
111,南河沿大街,137,2,14,1,"LINESTRING (116.40043 39.907258, 116.400449 39.907491)",1,25.96,secondary,4,,,,auto,
112,南河沿大街,137,14,2,1,"LINESTRING (116.400449 39.907491, 116.40043 39.907258)",1,25.96,secondary,4,,,,auto,
113,南河沿大街,138,2,1,1,"LINESTRING (116.40043 39.907258, 116.400416 39.906864)",1,43.83,secondary,4,,,,auto,
114,南河沿大街,138,1,2,1,"LINESTRING (116.400416 39.906864, 116.40043 39.907258)",1,43.83,secondary,4,,,,auto,
115,普渡寺前巷,147,33,34,1,"LINESTRING (116.398317 39.911437, 116.397947 39.91142)",1,31.61,residential,6,,,,auto,
116,普渡寺前巷,147,34,33,1,"LINESTRING (116.397947 39.91142, 116.398317 39.911437)",1,31.61,residential,6,,,,auto,
117,普渡寺前巷,148,33,32,1,"LINESTRING (116.398317 39.911437, 116.398476 39.911444)",1,13.58,residential,6,,,,auto,
