name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,26535390,signal,116.4004160,39.9068640,,,,,
,2,1446052227,,116.4004300,39.9072580,,,,,
,3,6095123387,,116.4004140,39.9068090,,,,,
,4,31194136,signal,116.4005420,39.9116150,,,,,
,5,8809675588,,116.4005770,39.9107290,,,,,
,6,266111658,,116.4005720,39.9106530,,,,,
,7,8809675589,,116.4007080,39.9106560,,,,,
,8,6131080440,,116.4005720,39.9105920,,,,,
,9,330841132,signal,116.3973810,39.9065300,,,,,
,10,6650368134,,116.3970960,39.9065220,,,,,
,11,533628252,,116.4005070,39.9083880,,,,,
,12,9327598732,,116.4005150,39.9085230,,,,,
,13,533628789,signal,116.4005040,39.9082110,,,,,
,14,6448666062,,116.4004490,39.9074910,,,,,
,15,733788184,,116.3994320,39.9107670,,,,,
,16,6105484362,,116.3994250,39.9112010,,,,,
,17,733788474,,116.3989980,39.9107680,,,,,
,18,733788263,,116.3969070,39.9102530,,,,,
,19,5908244201,,116.3968870,39.9106430,,,,,
,20,733788794,,116.3969440,39.9094920,,,,,
,21,733788292,,116.3969580,39.9092120,,,,,
,22,733789032,,116.3970140,39.9080700,,,,,
,23,733788320,,116.3989890,39.9114740,,,,,
,24,6095000287,,116.3986250,39.9114500,,,,,
,25,6105484375,,116.3989940,39.9112020,,,,,
,26,733789278,,116.3990100,39.9115500,,,,,
,27,733788439,,116.3968250,39.9113730,,,,,
,28,733789002,,116.3972260,39.9113880,,,,,
,29,733789098,,116.3984880,39.9107600,,,,,
,30,733788681,,116.3985040,39.9103470,,,,,
,31,733788691,,116.3984820,39.9108460,,,,,
,32,733788810,,116.3984760,39.9114440,,,,,
,33,1980072136,,116.3983170,39.9114370,,,,,
,34,733788941,,116.3979470,39.9114200,,,,,
,35,733789186,,116.3972710,39.9108300,,,,,
,36,6448666076,,116.3970230,39.9078990,,,,,
,37,6094988967,,116.3990440,39.9116460,,,,,
,38,733789295,,116.3970390,39.9075740,,,,,
,39,6448666067,,116.3970480,39.9073950,,,,,
,40,733858893,,116.4005680,39.9096300,,,,,
,41,7825536647,,116.4005580,39.9098200,,,,,
,42,9327598731,,116.4005600,39.9094170,,,,,
,43,733858955,,116.4005670,39.9101840,,,,,
,44,1446052195,,116.3970660,39.9070180,,,,,
,45,1446052218,,116.3970560,39.9072280,,,,,
,46,6421531641,,116.3970710,39.9069280,,,,,
,47,5810315259,,116.3970510,39.9073360,,,,,
,48,4710638744,,116.3970840,39.9067720,,,,,
,49,9782405938,signal,116.3970810,39.9068030,,,,,
,50,6421531651,,116.3970860,39.9067280,,,,,
,51,5824743516,,116.4005510,39.9091800,,,,,
,52,6094988966,,116.3990410,39.9118800,,,,,
,53,9296257997,,116.4004070,39.9066070,,,,,
,54,6095123391,,116.4000190,39.9066000,,,,,
,55,6421531642,,116.3970740,39.9068950,,,,,
,56,9296257991,,116.3966050,39.9065040,,,,,
,57,8809675590,,116.4009560,39.9106660,,,,,
,58,9317006999,,116.3961260,39.9064920,,,,,
,59,9296257996,signal,116.4007140,39.9066200,,,,,
