name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,25248786,signal,116.3926310,39.9061130,,,,,
,2,9063921186,,116.3930800,39.9061260,,,,,
,3,26535390,signal,116.4004160,39.9068640,,,,,
,4,1446052227,,116.4004300,39.9072580,,,,,
,5,6095123387,,116.4004140,39.9068090,,,,,
,6,31194136,signal,116.4005420,39.9116150,,,,,
,7,266111656,,116.4010400,39.9116300,,,,,
,8,733788139,,116.4005230,39.9119990,,,,,
,9,8809675588,,116.4005770,39.9107290,,,,,
,10,733859194,,116.4019260,39.9116620,,,,,
,11,733859920,,116.4009860,39.9126080,,,,,
,12,266111657,,116.4010540,39.9106730,,,,,
,13,8809675592,,116.4010570,39.9105800,,,,,
,14,8809675591,,116.4010510,39.9107720,,,,,
,15,8809675587,,116.4011280,39.9106690,,,,,
,16,266111658,,116.4005720,39.9106530,,,,,
,17,8809675589,,116.4007080,39.9106560,,,,,
,18,6131080440,,116.4005720,39.9105920,,,,,
,19,266112411,,116.4028220,39.9116900,,,,,
,20,733859431,,116.4027980,39.9123270,,,,,
,21,330841132,signal,116.3973810,39.9065300,,,,,
,22,6650368134,,116.3970960,39.9065220,,,,,
,23,330841134,signal,116.3999810,39.9064330,,,,,
,24,9296257998,,116.4000260,39.9064340,,,,,
,25,330841408,signal,116.3936160,39.9063960,,,,,
,26,9063921187,,116.3930700,39.9063730,,,,,
,27,533628252,,116.4005070,39.9083880,,,,,
,28,9327598732,,116.4005150,39.9085230,,,,,
,29,533628789,signal,116.4005040,39.9082110,,,,,
,30,533628569,,116.4017190,39.9079010,,,,,
,31,733859781,,116.4026640,39.9079160,,,,,
,32,12492811791,,116.4016560,39.9079070,,,,,
,33,533628571,,116.4011360,39.9082190,,,,,
,34,12492811788,,116.4011220,39.9082970,,,,,
,35,733858963,,116.4015240,39.9079440,,,,,
,36,6448666062,,116.4004490,39.9074910,,,,,
,37,733788207,,116.3997190,39.9119810,,,,,
,38,9327598729,,116.4004900,39.9125120,,,,,
,39,733788184,,116.3994320,39.9107670,,,,,
,40,6105484362,,116.3994250,39.9112010,,,,,
,41,733788474,,116.3989980,39.9107680,,,,,
,42,733788541,,116.3993720,39.9119730,,,,,
,43,733788263,,116.3969070,39.9102530,,,,,
,44,5908244201,,116.3968870,39.9106430,,,,,
,45,733788794,,116.3969440,39.9094920,,,,,
,46,733788292,,116.3969580,39.9092120,,,,,
,47,733789032,,116.3970140,39.9080700,,,,,
,48,733788320,,116.3989890,39.9114740,,,,,
,49,6095000287,,116.3986250,39.9114500,,,,,
,50,6105484375,,116.3989940,39.9112020,,,,,
,51,733789278,,116.3990100,39.9115500,,,,,
,52,733788439,,116.3968250,39.9113730,,,,,
,53,733789002,,116.3972260,39.9113880,,,,,
,54,6094979043,,116.3967920,39.9121370,,,,,
,55,733789098,,116.3984880,39.9107600,,,,,
,56,733788556,,116.3991990,39.9119700,,,,,
,57,733788552,,116.3967630,39.9131700,,,,,
,58,1980072175,,116.3990910,39.9119650,,,,,
,59,733788681,,116.3985040,39.9103470,,,,,
,60,733788691,,116.3984820,39.9108460,,,,,
,61,733788810,,116.3984760,39.9114440,,,,,
,62,1980072136,,116.3983170,39.9114370,,,,,
,63,733788941,,116.3979470,39.9114200,,,,,
,64,733789186,,116.3972710,39.9108300,,,,,
,65,6448666076,,116.3970230,39.9078990,,,,,
,66,6094988967,,116.3990440,39.9116460,,,,,
,67,733789295,,116.3970390,39.9075740,,,,,
,68,6448666067,,116.3970480,39.9073950,,,,,
,69,733858789,,116.4026210,39.9091940,,,,,
,70,8809675582,,116.4027520,39.9091880,,,,,
,71,6297236905,,116.4026270,39.9090200,,,,,
,72,8809675580,,116.4026160,39.9092840,,,,,
,73,8809675581,,116.4024310,39.9091900,,,,,
,74,733858822,,116.4021920,39.9128720,,,,,
,75,733860080,,116.4022010,39.9126400,,,,,
,76,733859730,,116.4027680,39.9128880,,,,,
,77,733858893,,116.4005680,39.9096300,,,,,
,78,733859140,,116.4011030,39.9096280,,,,,
,79,7825536647,,116.4005580,39.9098200,,,,,
,80,9327598731,,116.4005600,39.9094170,,,,,
,81,733858942,,116.4019040,39.9123070,,,,,
,82,733858955,,116.4005670,39.9101840,,,,,
,83,733859742,,116.4010760,39.9101840,,,,,
,84,12492811790,,116.4015920,39.9079180,,,,,
,85,733859020,,116.4025320,39.9106210,,,,,
,86,8809675583,,116.4025510,39.9104990,,,,,
,87,8809675586,,116.4027130,39.9106340,,,,,
,88,8809675584,,116.4023140,39.9106270,,,,,
,89,733859031,,116.4010960,39.9091650,,,,,
,90,12492811789,,116.4011170,39.9083520,,,,,
,91,8809675593,,116.4011950,39.9091630,,,,,
,92,733859673,,116.4020910,39.9066570,,,,,
,93,733860059,,116.4018460,39.9066550,,,,,
