name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,25248785,signal,116.3889280,39.9059990,,,,,
,2,9063921183,,116.3894460,39.9060160,,,,,
,3,25248786,signal,116.3926310,39.9061130,,,,,
,4,9063921186,,116.3930800,39.9061260,,,,,
,5,321607233,signal,116.3898400,39.9062730,,,,,
,6,9063921182,,116.3894300,39.9062600,,,,,
,7,330841408,signal,116.3936160,39.9063960,,,,,
,8,9063921187,,116.3930700,39.9063730,,,,,
,9,733788806,,116.3856180,39.9069870,,,,,
,10,6105550935,,116.3854910,39.9069840,,,,,
,11,733788907,signal,116.3856490,39.9068050,,,,,
,12,9378895553,,116.3856060,39.9073100,,,,,
,13,6013587610,,116.3856750,39.9065600,,,,,
,14,733789032,,116.3970140,39.9080700,,,,,
,15,6448666076,,116.3970230,39.9078990,,,,,
,16,733789295,,116.3970390,39.9075740,,,,,
,17,6448666067,,116.3970480,39.9073950,,,,,
,18,1687056659,,116.3932140,39.9037280,,,,,
,19,12628080424,signal,116.3932100,39.9038040,,,,,
,20,2424906809,,116.3864280,39.9061690,,,,,
,21,330841279,signal,116.3858720,39.9061500,,,,,
,22,4718004200,,116.3866440,39.9059230,,,,,
,23,5810315259,,116.3970510,39.9073360,,,,,
,24,9782405965,signal,116.3856750,39.9064730,,,,,
,25,6111475091,,116.3855770,39.9080980,,,,,
,26,9378895556,,116.3855820,39.9079770,,,,,
,27,6650358681,,116.3930970,39.9058970,,,,,
,28,6650358684,,116.3894560,39.9058200,,,,,
,29,6009696479,,116.3895610,39.9036110,,,,,
,30,9034942210,signal,116.3966580,39.9062450,,,,,
,31,9296257992,,116.3966820,39.9062470,,,,,
,32,9296257987,,116.3889230,39.9062450,,,,,
,33,9296257988,,116.3898650,39.9060280,,,,,
,34,9296257990,,116.3937090,39.9061470,,,,,
,35,9296257989,,116.3926020,39.9063580,,,,,
,36,9296101695,,116.3856760,39.9063850,,,,,
,37,9316968441,,116.3874740,39.9062020,,,,,
,38,9317034206,,116.3950410,39.9061850,,,,,
,39,9296257991,,116.3966050,39.9065040,,,,,
,40,9317006999,,116.3961260,39.9064920,,,,,
,41,9316968442,,116.3872180,39.9061950,,,,,
,42,9317034201,,116.3960130,39.9064880,,,,,
,43,9317034202,,116.3958200,39.9064770,,,,,
,44,12628080473,,116.3931790,39.9043720,,,,,
,45,12628080425,,116.3931000,39.9058360,,,,,
