link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,西长安街,0,1,2,1,"LINESTRING (116.388928 39.905999, 116.389446 39.906016)",1,44.22,trunk,2,,,,auto,
2,西长安街,1,3,4,1,"LINESTRING (116.392631 39.906113, 116.39308 39.906126)",1,38.33,trunk,2,,,,auto,
3,人大会堂西路,2,5,6,1,"LINESTRING (116.385592 39.901994, 116.385673 39.901972)",1,7.33,tertiary,5,,,,auto,
4,人大会堂西路,2,6,5,1,"LINESTRING (116.385673 39.901972, 116.385592 39.901994)",1,7.33,tertiary,5,,,,auto,
5,人大会堂西路,3,5,7,1,"LINESTRING (116.385592 39.901994, 116.38559 39.902168)",1,19.35,tertiary,5,,,,auto,
6,人大会堂西路,3,7,5,1,"LINESTRING (116.38559 39.902168, 116.385592 39.901994)",1,19.35,tertiary,5,,,,auto,
7,人大会堂西路,4,5,8,1,"LINESTRING (116.385592 39.901994, 116.385463 39.901901)",1,15.10,tertiary,5,,,,auto,
8,人大会堂西路,4,8,5,1,"LINESTRING (116.385463 39.901901, 116.385592 39.901994)",1,15.10,tertiary,5,,,,auto,
9,人大会堂西路,5,9,10,1,"LINESTRING (116.386284 39.901695, 116.386523 39.901568)",1,24.80,tertiary,5,,,,auto,
10,人大会堂西路,5,10,9,1,"LINESTRING (116.386523 39.901568, 116.386284 39.901695)",1,24.80,tertiary,5,,,,auto,
11,人大会堂西路,6,9,11,1,"LINESTRING (116.386284 39.901695, 116.38589 39.901889)",1,39.94,tertiary,5,,,,auto,
12,人大会堂西路,6,11,9,1,"LINESTRING (116.38589 39.901889, 116.386284 39.901695)",1,39.94,tertiary,5,,,,auto,
13,人大会堂西路,7,12,13,1,"LINESTRING (116.386719 39.901488, 116.386888 39.901453)",1,14.93,tertiary,5,,,,auto,
14,人大会堂西路,7,13,12,1,"LINESTRING (116.386888 39.901453, 116.386719 39.901488)",1,14.93,tertiary,5,,,,auto,
15,人大会堂西路,8,12,14,1,"LINESTRING (116.386719 39.901488, 116.386542 39.901558)",1,16.99,tertiary,5,,,,auto,
16,人大会堂西路,8,14,12,1,"LINESTRING (116.386542 39.901558, 116.386719 39.901488)",1,16.99,tertiary,5,,,,auto,
17,人大会堂西路,9,15,16,1,"LINESTRING (116.385395 39.901793, 116.385392 39.901762)",1,3.46,tertiary,5,,,,auto,
18,人大会堂西路,9,16,15,1,"LINESTRING (116.385392 39.901762, 116.385395 39.901793)",1,3.46,tertiary,5,,,,auto,
19,人大会堂西路,10,15,17,1,"LINESTRING (116.385395 39.901793, 116.385401 39.901822)",1,3.27,tertiary,5,,,,auto,
20,人大会堂西路,10,17,15,1,"LINESTRING (116.385401 39.901822, 116.385395 39.901793)",1,3.27,tertiary,5,,,,auto,
21,南河沿大街,11,18,19,1,"LINESTRING (116.400416 39.906864, 116.40043 39.907258)",1,43.83,secondary,4,,,,auto,
22,南河沿大街,11,19,18,1,"LINESTRING (116.40043 39.907258, 116.400416 39.906864)",1,43.83,secondary,4,,,,auto,
23,南河沿大街,12,18,20,1,"LINESTRING (116.400416 39.906864, 116.400414 39.906809)",1,6.12,secondary,4,,,,auto,
24,南河沿大街,12,20,18,1,"LINESTRING (116.400414 39.906809, 116.400416 39.906864)",1,6.12,secondary,4,,,,auto,
25,东长安街,13,21,22,1,"LINESTRING (116.405456 39.906762, 116.40531 39.906759)",1,12.46,trunk,2,,,,auto,
26,,14,23,24,1,"LINESTRING (116.400542 39.911615, 116.40104 39.91163)",1,42.51,residential,6,,,,auto,
27,,14,24,23,1,"LINESTRING (116.40104 39.91163, 116.400542 39.911615)",1,42.51,residential,6,,,,auto,
28,南河沿大街,15,23,25,1,"LINESTRING (116.400542 39.911615, 116.400523 39.911999)",1,42.73,secondary,4,,,,auto,
29,南河沿大街,15,25,23,1,"LINESTRING (116.400523 39.911999, 116.400542 39.911615)",1,42.73,secondary,4,,,,auto,
30,南河沿大街,16,23,26,1,"LINESTRING (116.400542 39.911615, 116.400577 39.910729)",1,98.56,secondary,4,,,,auto,
31,南河沿大街,16,26,23,1,"LINESTRING (116.400577 39.910729, 116.400542 39.911615)",1,98.56,secondary,4,,,,auto,
32,灯市口大街,17,27,28,1,"LINESTRING (116.405085 39.917152, 116.405809 39.917183)",1,61.84,tertiary,5,,,,auto,
33,灯市口大街,17,28,27,1,"LINESTRING (116.405809 39.917183, 116.405085 39.917152)",1,61.84,tertiary,5,,,,auto,
34,灯市口大街,18,27,29,1,"LINESTRING (116.405085 39.917152, 116.404996 39.917148)",1,7.60,tertiary,5,,,,auto,
35,灯市口大街,18,29,27,1,"LINESTRING (116.404996 39.917148, 116.405085 39.917152)",1,7.60,tertiary,5,,,,auto,
36,东华门大街,22,30,31,1,"LINESTRING (116.395476 39.913733, 116.395576 39.913738)",1,8.55,unclassified,20,,,,auto,
37,东华门大街,22,31,30,1,"LINESTRING (116.395576 39.913738, 116.395476 39.913733)",1,8.55,unclassified,20,,,,auto,
38,北池子大街,23,32,33,1,"LINESTRING (116.396732 39.91377, 116.396641 39.915726)",1,217.64,tertiary,5,,1,,auto,
39,北池子大街,23,33,32,1,"LINESTRING (116.396641 39.915726, 116.396732 39.91377)",1,217.64,tertiary,5,,1,,auto,
40,南池子大街,24,32,34,1,"LINESTRING (116.396732 39.91377, 116.396763 39.91317)",1,66.77,tertiary,5,,1,,auto,
41,南池子大街,24,34,32,1,"LINESTRING (116.396763 39.91317, 116.396732 39.91377)",1,66.77,tertiary,5,,1,,auto,
42,东华门大街,25,32,35,1,"LINESTRING (116.396732 39.91377, 116.397381 39.913798)",1,55.44,secondary,4,,,,auto,
43,东华门大街,25,35,32,1,"LINESTRING (116.397381 39.913798, 116.396732 39.91377)",1,55.44,secondary,4,,,,auto,
44,东华门大街,26,32,36,1,"LINESTRING (116.396732 39.91377, 116.396612 39.913766)",1,10.24,unclassified,20,,,,auto,
45,东华门大街,26,36,32,1,"LINESTRING (116.396612 39.913766, 116.396732 39.91377)",1,10.24,unclassified,20,,,,auto,
46,东安门大街,27,37,38,1,"LINESTRING (116.400386 39.913891, 116.40091 39.913903)",1,44.71,secondary,4,,,,auto,
47,东安门大街,27,38,37,1,"LINESTRING (116.40091 39.913903, 116.400386 39.913891)",1,44.71,secondary,4,,,,auto,
48,南河沿大街,28,37,39,1,"LINESTRING (116.400386 39.913891, 116.400474 39.912672)",1,135.75,secondary,4,,,,auto,
49,南河沿大街,28,39,37,1,"LINESTRING (116.400474 39.912672, 116.400386 39.913891)",1,135.75,secondary,4,,,,auto,
50,北河沿大街,29,37,40,1,"LINESTRING (116.400386 39.913891, 116.400351 39.914391)",1,55.68,secondary,4,,,,auto,
51,北河沿大街,29,40,37,1,"LINESTRING (116.400351 39.914391, 116.400386 39.913891)",1,55.68,secondary,4,,,,auto,
52,东华门大街,30,37,41,1,"LINESTRING (116.400386 39.913891, 116.399068 39.913838)",1,112.56,secondary,4,,,,auto,
53,东华门大街,30,41,37,1,"LINESTRING (116.399068 39.913838, 116.400386 39.913891)",1,112.56,secondary,4,,,,auto,
54,正义路,35,42,43,1,"LINESTRING (116.400437 39.903112, 116.400482 39.902111)",1,111.37,tertiary,5,,,,auto,
