name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,25248785,signal,116.3889280,39.9059990,,,,,
,2,9063921183,,116.3894460,39.9060160,,,,,
,3,25248786,signal,116.3926310,39.9061130,,,,,
,4,9063921186,,116.3930800,39.9061260,,,,,
,5,25585055,,116.3855920,39.9019940,,,,,
,6,13570555123,,116.3856730,39.9019720,,,,,
,7,5098449244,,116.3855900,39.9021680,,,,,
,8,6448366274,,116.3854630,39.9019010,,,,,
,9,25585061,,116.3862840,39.9016950,,,,,
,10,10197703875,,116.3865230,39.9015680,,,,,
,11,5098449241,,116.3858900,39.9018890,,,,,
,12,25585063,,116.3867190,39.9014880,,,,,
,13,6448366277,,116.3868880,39.9014530,,,,,
,14,6448366276,,116.3865420,39.9015580,,,,,
,15,25585067,,116.3853950,39.9017930,,,,,
,16,13570555121,,116.3853920,39.9017620,,,,,
,17,13570555120,,116.3854010,39.9018220,,,,,
,18,26535390,signal,116.4004160,39.9068640,,,,,
,19,1446052227,,116.4004300,39.9072580,,,,,
,20,6095123387,,116.4004140,39.9068090,,,,,
,21,26535595,signal,116.4054560,39.9067620,,,,,
,22,9296258001,,116.4053100,39.9067590,,,,,
,23,31194136,signal,116.4005420,39.9116150,,,,,
,24,266111656,,116.4010400,39.9116300,,,,,
,25,733788139,,116.4005230,39.9119990,,,,,
,26,8809675588,,116.4005770,39.9107290,,,,,
,27,31194139,signal,116.4050850,39.9171520,,,,,
,28,733859702,,116.4058090,39.9171830,,,,,
,29,8809675612,,116.4049960,39.9171480,,,,,
,30,31194141,,116.3954760,39.9137330,,,,,
,31,9507815685,,116.3955760,39.9137380,,,,,
,32,31194142,signal,116.3967320,39.9137700,,,,,
,33,733788527,,116.3966410,39.9157260,,,,,
,34,733788552,,116.3967630,39.9131700,,,,,
,35,533627836,,116.3973810,39.9137980,,,,,
,36,12587107297,,116.3966120,39.9137660,,,,,
,37,31194143,signal,116.4003860,39.9138910,,,,,
,38,266111655,,116.4009100,39.9139030,,,,,
,39,9327598730,,116.4004740,39.9126720,,,,,
,40,9327607684,,116.4003510,39.9143910,,,,,
,41,733788662,,116.3990680,39.9138380,,,,,
,42,250041137,,116.4004370,39.9031120,,,,,
,43,4710638978,,116.4004820,39.9021110,,,,,
,44,733967494,,116.4008180,39.9031370,,,,,
,45,260329796,,116.3863290,39.9134120,,,,,
,46,9507815674,,116.3856820,39.9133880,,,,,
,47,260329838,,116.3851800,39.9133670,,,,,
,48,9378905793,,116.3851370,39.9143670,,,,,
,49,9378905792,,116.3851900,39.9130440,,,,,
,50,266111654,,116.4008010,39.9169660,,,,,
,51,341202030,,116.4023160,39.9170360,,,,,
,52,1858572388,,116.4005330,39.9169570,,,,,
,53,341203021,,116.4007290,39.9186180,,,,,
,54,10125648476,,116.4022770,39.9139790,,,,,
,55,733859109,,116.4008930,39.9149060,,,,,
,56,733859194,,116.4019260,39.9116620,,,,,
,57,733859920,,116.4009860,39.9126080,,,,,
,58,266111657,,116.4010540,39.9106730,,,,,
,59,8809675592,,116.4010570,39.9105800,,,,,
