link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,橘子洲大桥,0,1,2,1,"LINESTRING (112.9508 28.199433, 112.956019 28.199256)",1,511.83,primary,3,,,,auto,
2,,1,3,4,1,"LINESTRING (112.964219 28.198922, 112.964503 28.198867)",1,28.50,primary,3,,,,auto,
3,五一大道,2,3,5,1,"LINESTRING (112.964219 28.198922, 112.965376 28.198884)",1,113.46,primary,3,,,,auto,
4,蔡锷中路,3,6,7,1,"LINESTRING (112.975403 28.198505, 112.975404 28.198436)",1,7.67,secondary,4,,3,,auto,
5,五一大道,4,6,8,1,"LINESTRING (112.975403 28.198505, 112.975543 28.198501)",1,13.73,primary,3,,,,auto,
6,,5,9,10,1,"LINESTRING (112.89592 28.119317, 112.895361 28.119619)",1,64.29,motorway,1,,2,,auto,
7,,6,10,11,1,"LINESTRING (112.895361 28.119619, 112.894609 28.120064)",1,88.81,motorway,1,,2,,auto,
8,,7,12,13,1,"LINESTRING (112.893651 28.120612, 112.893347 28.120803)",1,36.60,motorway,1,,2,,auto,
9,长韶娄高速,8,12,14,1,"LINESTRING (112.893651 28.120612, 112.893348 28.120857)",1,40.31,motorway,1,,,,auto,
10,,9,15,16,1,"LINESTRING (112.891443 28.12236, 112.891017 28.12272)",1,57.86,motorway,1,,2,,auto,
11,,10,17,18,1,"LINESTRING (112.890304 28.123434, 112.889764 28.124044)",1,86.05,motorway,1,,2,,auto,
12,,11,19,20,1,"LINESTRING (112.889154 28.124818, 112.888987 28.125043)",1,29.90,motorway,1,,2,,auto,
13,,12,21,22,1,"LINESTRING (112.887336 28.127695, 112.887133 28.128068)",1,46.01,motorway,1,,,,auto,
14,南二环,13,23,24,1,"LINESTRING (112.940771 28.142506, 112.942575 28.142455)",1,176.97,trunk,2,,,,auto,
15,猴子石大桥,14,25,26,1,"LINESTRING (112.943312 28.142421, 112.945826 28.14236)",1,246.59,trunk,2,,3,,auto,
16,南二环,15,27,28,1,"LINESTRING (112.954686 28.142101, 112.95551 28.142063)",1,80.90,trunk,2,,3,,auto,
17,,16,27,29,1,"LINESTRING (112.954686 28.142101, 112.955208 28.142034)",1,51.72,primary,3,,,,auto,
18,南二环,17,30,31,1,"LINESTRING (112.956136 28.14203, 112.957002 28.142006)",1,84.95,trunk,2,,3,,auto,
19,南二环,18,31,32,1,"LINESTRING (112.957002 28.142006, 112.957885 28.141994)",1,86.59,trunk,2,,3,,auto,
20,南二环,19,33,34,1,"LINESTRING (112.959403 28.141997, 112.959973 28.142)",1,55.89,trunk,2,,3,,auto,
21,南二环,20,35,36,1,"LINESTRING (112.960211 28.142008, 112.960478 28.142021)",1,26.22,trunk,2,,3,,auto,
22,南二环,21,37,38,1,"LINESTRING (112.960746 28.142048, 112.961105 28.142096)",1,35.60,trunk,2,,3,,auto,
23,,22,39,40,1,"LINESTRING (112.961839 28.142256, 112.962306 28.142295)",1,45.99,trunk,2,,,,auto,
24,南二环,23,39,41,1,"LINESTRING (112.961839 28.142256, 112.961965 28.142286)",1,12.80,trunk,2,,3,,auto,
25,南二环,24,41,42,1,"LINESTRING (112.961965 28.142286, 112.962217 28.142361)",1,26.08,trunk,2,,3,,auto,
26,南二环,25,42,43,1,"LINESTRING (112.962217 28.142361, 112.962482 28.142458)",1,28.13,trunk,2,,3,,auto,
27,南二环,26,43,44,1,"LINESTRING (112.962482 28.142458, 112.96277 28.14258)",1,31.33,trunk,2,,3,,auto,
28,南二环,27,45,46,1,"LINESTRING (112.964882 28.143703, 112.965191 28.143859)",1,34.91,trunk,2,,3,,auto,
29,南二环,28,46,47,1,"LINESTRING (112.965191 28.143859, 112.965524 28.143997)",1,36.08,trunk,2,,3,,auto,
30,南二环,29,47,48,1,"LINESTRING (112.965524 28.143997, 112.965876 28.144121)",1,37.17,trunk,2,,3,,auto,
31,南二环,30,48,49,1,"LINESTRING (112.965876 28.144121, 112.966161 28.144204)",1,29.43,trunk,2,,3,,auto,
32,南二环,31,50,51,1,"LINESTRING (112.966453 28.144271, 112.966754 28.144324)",1,30.09,trunk,2,,3,,auto,
33,南二环,32,52,53,1,"LINESTRING (112.966999 28.144352, 112.96727 28.14437)",1,26.65,trunk,2,,3,,auto,
34,南二环,33,54,55,1,"LINESTRING (112.967557 28.144379, 112.967925 28.144371)",1,36.09,trunk,2,,3,,auto,
35,南二环,34,55,56,1,"LINESTRING (112.967925 28.144371, 112.968552 28.144355)",1,61.50,trunk,2,,3,,auto,
