link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,后湖路,0,1,2,1,"LINESTRING (112.935523 28.160121, 112.935544 28.160136)",1,2.65,unclassified,20,,,,auto,
2,后湖路,0,2,1,1,"LINESTRING (112.935544 28.160136, 112.935523 28.160121)",1,2.65,unclassified,20,,,,auto,
3,后湖路,1,1,3,1,"LINESTRING (112.935523 28.160121, 112.935328 28.16)",1,23.38,unclassified,20,,,,auto,
4,后湖路,1,3,1,1,"LINESTRING (112.935328 28.16, 112.935523 28.160121)",1,23.38,unclassified,20,,,,auto,
5,后湖路,2,4,5,1,"LINESTRING (112.935914 28.160412, 112.93605 28.160568)",1,21.88,unclassified,20,,,,auto,
6,后湖路,2,5,4,1,"LINESTRING (112.93605 28.160568, 112.935914 28.160412)",1,21.88,unclassified,20,,,,auto,
7,后湖路,3,4,6,1,"LINESTRING (112.935914 28.160412, 112.935709 28.160254)",1,26.69,unclassified,20,,,,auto,
8,后湖路,3,6,4,1,"LINESTRING (112.935709 28.160254, 112.935914 28.160412)",1,26.69,unclassified,20,,,,auto,
9,后湖路,4,5,7,1,"LINESTRING (112.93605 28.160568, 112.936159 28.1607)",1,18.16,unclassified,20,,,,auto,
10,后湖路,4,7,5,1,"LINESTRING (112.936159 28.1607, 112.93605 28.160568)",1,18.16,unclassified,20,,,,auto,
11,后湖路,5,5,4,1,"LINESTRING (112.93605 28.160568, 112.935914 28.160412)",1,21.88,unclassified,20,,,,auto,
12,后湖路,5,4,5,1,"LINESTRING (112.935914 28.160412, 112.93605 28.160568)",1,21.88,unclassified,20,,,,auto,
13,后湖路,6,8,9,1,"LINESTRING (112.93625 28.160966, 112.93628 28.161096)",1,14.75,unclassified,20,,,,auto,
14,后湖路,6,9,8,1,"LINESTRING (112.93628 28.161096, 112.93625 28.160966)",1,14.75,unclassified,20,,,,auto,
15,后湖路,7,8,10,1,"LINESTRING (112.93625 28.160966, 112.936227 28.16086)",1,12.00,unclassified,20,,,,auto,
16,后湖路,7,10,8,1,"LINESTRING (112.936227 28.16086, 112.93625 28.160966)",1,12.00,unclassified,20,,,,auto,
17,后湖路,8,11,12,1,"LINESTRING (112.93638 28.161236, 112.936633 28.161375)",1,29.22,unclassified,20,,,,auto,
18,后湖路,8,12,11,1,"LINESTRING (112.936633 28.161375, 112.93638 28.161236)",1,29.22,unclassified,20,,,,auto,
19,后湖路,9,11,9,1,"LINESTRING (112.93638 28.161236, 112.93628 28.161096)",1,18.40,unclassified,20,,,,auto,
20,后湖路,9,9,11,1,"LINESTRING (112.93628 28.161096, 112.93638 28.161236)",1,18.40,unclassified,20,,,,auto,
21,后湖路,10,12,11,1,"LINESTRING (112.936633 28.161375, 112.93638 28.161236)",1,29.22,unclassified,20,,,,auto,
22,后湖路,10,11,12,1,"LINESTRING (112.93638 28.161236, 112.936633 28.161375)",1,29.22,unclassified,20,,,,auto,
23,,11,13,14,1,"LINESTRING (112.936406 28.165287, 112.936287 28.165443)",1,20.90,unclassified,20,,,,auto,
24,,11,14,13,1,"LINESTRING (112.936287 28.165443, 112.936406 28.165287)",1,20.90,unclassified,20,,,,auto,
25,,14,14,13,1,"LINESTRING (112.936287 28.165443, 112.936406 28.165287)",1,20.90,unclassified,20,,,,auto,
26,,14,13,14,1,"LINESTRING (112.936406 28.165287, 112.936287 28.165443)",1,20.90,unclassified,20,,,,auto,
27,,15,14,15,1,"LINESTRING (112.936287 28.165443, 112.936206 28.165551)",1,14.40,unclassified,20,,,,auto,
28,,15,15,14,1,"LINESTRING (112.936206 28.165551, 112.936287 28.165443)",1,14.40,unclassified,20,,,,auto,
29,后湖路,16,16,17,1,"LINESTRING (112.935379 28.165767, 112.935516 28.165935)",1,23.01,secondary,4,,4,,auto,
30,麓山南路,35,18,19,1,"LINESTRING (112.927418 28.167484, 112.927926 28.167583)",1,51.00,tertiary,5,40,2,,auto,
31,后湖路,36,20,21,1,"LINESTRING (112.934827 28.159235, 112.934807 28.15934)",1,11.84,unclassified,20,,,,auto,
32,后湖路,36,21,20,1,"LINESTRING (112.934807 28.15934, 112.934827 28.159235)",1,11.84,unclassified,20,,,,auto,
33,后湖路,37,21,22,1,"LINESTRING (112.934807 28.15934, 112.93482 28.159466)",1,14.07,unclassified,20,,,,auto,
34,后湖路,37,22,21,1,"LINESTRING (112.93482 28.159466, 112.934807 28.15934)",1,14.07,unclassified,20,,,,auto,
35,后湖路,38,21,20,1,"LINESTRING (112.934807 28.15934, 112.934827 28.159235)",1,11.84,unclassified,20,,,,auto,
36,后湖路,38,20,21,1,"LINESTRING (112.934827 28.159235, 112.934807 28.15934)",1,11.84,unclassified,20,,,,auto,
37,后湖路,39,23,24,1,"LINESTRING (112.934848 28.159567, 112.93489 28.15964)",1,9.10,unclassified,20,,,,auto,
38,后湖路,39,24,23,1,"LINESTRING (112.93489 28.15964, 112.934848 28.159567)",1,9.10,unclassified,20,,,,auto,
39,后湖路,40,23,22,1,"LINESTRING (112.934848 28.159567, 112.93482 28.159466)",1,11.56,unclassified,20,,,,auto,
40,后湖路,40,22,23,1,"LINESTRING (112.93482 28.159466, 112.934848 28.159567)",1,11.56,unclassified,20,,,,auto,
41,后湖路,41,25,26,1,"LINESTRING (112.935007 28.159771, 112.935087 28.159837)",1,10.74,unclassified,20,,,,auto,
42,后湖路,41,26,25,1,"LINESTRING (112.935087 28.159837, 112.935007 28.159771)",1,10.74,unclassified,20,,,,auto,
43,后湖路,42,25,27,1,"LINESTRING (112.935007 28.159771, 112.93494 28.159701)",1,10.18,unclassified,20,,,,auto,
44,后湖路,42,27,25,1,"LINESTRING (112.93494 28.159701, 112.935007 28.159771)",1,10.18,unclassified,20,,,,auto,
45,,43,28,29,1,"LINESTRING (112.926845 28.167338, 112.926891 28.167013)",1,36.42,secondary,4,40,2,,auto,
46,麓山南路,44,28,30,1,"LINESTRING (112.926845 28.167338, 112.926983 28.167378)",1,14.24,secondary,4,40,2,,auto,
47,,45,31,32,1,"LINESTRING (112.929969 28.161912, 112.930196 28.161825)",1,24.26,residential,6,,,,auto,
48,,45,32,31,1,"LINESTRING (112.930196 28.161825, 112.929969 28.161912)",1,24.26,residential,6,,,,auto,
49,,46,31,33,1,"LINESTRING (112.929969 28.161912, 112.929934 28.161929)",1,3.92,residential,6,,,,auto,
50,,46,33,31,1,"LINESTRING (112.929934 28.161929, 112.929969 28.161912)",1,3.92,residential,6,,,,auto,
51,,47,34,35,1,"LINESTRING (112.929099 28.161072, 112.929065 28.161099)",1,4.49,secondary,4,40,2,,auto,
52,,48,36,37,1,"LINESTRING (112.931315 28.162092, 112.931315 28.161997)",1,10.56,residential,6,,,,auto,
53,,48,37,36,1,"LINESTRING (112.931315 28.161997, 112.931315 28.162092)",1,10.56,residential,6,,,,auto,
54,,52,38,39,1,"LINESTRING (112.931266 28.161053, 112.93128 28.161284)",1,25.72,residential,6,,,,auto,
55,,52,39,38,1,"LINESTRING (112.93128 28.161284, 112.931266 28.161053)",1,25.72,residential,6,,,,auto,
56,,53,38,40,1,"LINESTRING (112.931266 28.161053, 112.931166 28.160917)",1,18.02,residential,6,,,,auto,
57,,53,40,38,1,"LINESTRING (112.931166 28.160917, 112.931266 28.161053)",1,18.02,residential,6,,,,auto,
58,,54,41,42,1,"LINESTRING (112.927629 28.162979, 112.927579 28.163164)",1,21.15,secondary,4,40,2,,auto,
59,,55,43,44,1,"LINESTRING (112.927522 28.16307, 112.927562 28.162929)",1,16.16,secondary,4,40,2,,auto,
60,,56,45,46,1,"LINESTRING (112.928481 28.161502, 112.928633 28.161354)",1,22.20,secondary,4,40,2,,auto,
61,,57,47,48,1,"LINESTRING (112.928655 28.161433, 112.928464 28.161622)",1,28.15,secondary,4,40,2,,auto,
62,,58,49,50,1,"LINESTRING (112.928252 28.161745, 112.928385 28.1616)",1,20.74,secondary,4,40,2,,auto,
63,,59,44,51,1,"LINESTRING (112.927562 28.162929, 112.927609 28.162804)",1,14.64,secondary,4,40,2,,auto,
64,,60,52,53,1,"LINESTRING (112.927447 28.163388, 112.927485 28.163212)",1,19.92,secondary,4,40,2,,auto,
65,,61,54,55,1,"LINESTRING (112.928308 28.161792, 112.928185 28.161941)",1,20.49,secondary,4,40,2,,auto,
66,,62,48,54,1,"LINESTRING (112.928464 28.161622, 112.928308 28.161792)",1,24.31,secondary,4,40,2,,auto,
67,,63,56,57,1,"LINESTRING (112.927984 28.162245, 112.927898 28.162392)",1,18.39,secondary,4,40,2,,auto,
68,,64,58,59,1,"LINESTRING (112.927842 28.162492, 112.927765 28.162636)",1,17.70,secondary,4,40,2,,auto,
69,,65,60,61,1,"LINESTRING (112.927728 28.162552, 112.927808 28.162378)",1,20.88,secondary,4,40,2,,auto,
70,,66,62,49,1,"LINESTRING (112.928119 28.161913, 112.928252 28.161745)",1,22.78,secondary,4,40,2,,auto,
71,,67,63,41,1,"LINESTRING (112.927683 28.162835, 112.927629 28.162979)",1,16.86,secondary,4,40,2,,auto,
72,,68,51,64,1,"LINESTRING (112.927609 28.162804, 112.927659 28.162686)",1,14.01,secondary,4,40,2,,auto,
73,,69,65,66,1,"LINESTRING (112.930537 28.15985, 112.931084 28.159414)",1,72.29,secondary,4,40,2,,auto,
74,,70,61,67,1,"LINESTRING (112.927808 28.162378, 112.927907 28.162212)",1,20.85,secondary,4,40,2,,auto,
75,,71,42,68,1,"LINESTRING (112.927579 28.163164, 112.927547 28.163304)",1,15.88,secondary,4,40,2,,auto,
76,,72,69,62,1,"LINESTRING (112.928018 28.162042, 112.928119 28.161913)",1,17.43,secondary,4,40,2,,auto,
77,,73,70,71,1,"LINESTRING (112.928986 28.161063, 112.929068 28.160999)",1,10.74,secondary,4,40,2,,auto,
78,,74,70,72,1,"LINESTRING (112.928986 28.161063, 112.928937 28.161035)",1,5.72,residential,6,,,,auto,
79,,75,68,73,1,"LINESTRING (112.927547 28.163304, 112.927516 28.163478)",1,19.59,secondary,4,40,2,,auto,
80,,76,64,60,1,"LINESTRING (112.927659 28.162686, 112.927728 28.162552)",1,16.36,secondary,4,40,2,,auto,
81,,77,74,47,1,"LINESTRING (112.928897 28.16123, 112.928655 28.161433)",1,32.75,secondary,4,40,2,,auto,
82,,78,75,56,1,"LINESTRING (112.928089 28.162076, 112.927984 28.162245)",1,21.43,secondary,4,40,2,,auto,
83,,79,67,69,1,"LINESTRING (112.927907 28.162212, 112.928018 28.162042)",1,21.81,secondary,4,40,2,,auto,
84,,80,53,43,1,"LINESTRING (112.927485 28.163212, 112.927522 28.16307)",1,16.20,secondary,4,40,2,,auto,
85,,81,46,76,1,"LINESTRING (112.928633 28.161354, 112.928847 28.161181)",1,28.46,secondary,4,40,2,,auto,
86,,82,57,58,1,"LINESTRING (112.927898 28.162392, 112.927842 28.162492)",1,12.40,secondary,4,40,2,,auto,
87,,83,76,70,1,"LINESTRING (112.928847 28.161181, 112.928986 28.161063)",1,18.92,secondary,4,40,2,,auto,
88,,84,77,78,1,"LINESTRING (112.930665 28.161596, 112.930712 28.161582)",1,4.86,residential,6,,,,auto,
89,,84,78,77,1,"LINESTRING (112.930712 28.161582, 112.930665 28.161596)",1,4.86,residential,6,,,,auto,
90,,85,77,79,1,"LINESTRING (112.930665 28.161596, 112.930622 28.161612)",1,4.58,residential,6,,,,auto,
91,,85,79,77,1,"LINESTRING (112.930622 28.161612, 112.930665 28.161596)",1,4.58,residential,6,,,,auto,
92,,89,80,81,1,"LINESTRING (112.932298 28.162717, 112.932385 28.162059)",1,73.66,residential,6,,1,,auto,
93,,89,81,80,1,"LINESTRING (112.932385 28.162059, 112.932298 28.162717)",1,73.66,residential,6,,1,,auto,
94,,90,80,82,1,"LINESTRING (112.932298 28.162717, 112.932291 28.162785)",1,7.59,residential,6,,1,,auto,
95,,90,82,80,1,"LINESTRING (112.932291 28.162785, 112.932298 28.162717)",1,7.59,residential,6,,1,,auto,
96,,94,83,84,1,"LINESTRING (112.93054 28.161647, 112.930581 28.161628)",1,4.54,residential,6,,,,auto,
97,,94,84,83,1,"LINESTRING (112.930581 28.161628, 112.93054 28.161647)",1,4.54,residential,6,,,,auto,
98,,95,83,85,1,"LINESTRING (112.93054 28.161647, 112.930511 28.16166)",1,3.19,residential,6,,,,auto,
99,,95,85,83,1,"LINESTRING (112.930511 28.16166, 112.93054 28.161647)",1,3.19,residential,6,,,,auto,
100,,108,86,87,1,"LINESTRING (112.93037 28.162715, 112.929856 28.162715)",1,50.39,residential,6,,,,auto,
101,,108,87,86,1,"LINESTRING (112.929856 28.162715, 112.93037 28.162715)",1,50.39,residential,6,,,,auto,
102,,109,86,88,1,"LINESTRING (112.93037 28.162715, 112.930373 28.162436)",1,31.02,residential,6,,,,auto,
103,,109,88,86,1,"LINESTRING (112.930373 28.162436, 112.93037 28.162715)",1,31.02,residential,6,,,,auto,
104,,111,89,88,1,"LINESTRING (112.930375 28.162104, 112.930373 28.162436)",1,36.92,residential,6,,,,auto,
105,,111,88,89,1,"LINESTRING (112.930373 28.162436, 112.930375 28.162104)",1,36.92,residential,6,,,,auto,
106,,112,89,90,1,"LINESTRING (112.930375 28.162104, 112.930359 28.161935)",1,18.86,residential,6,,,,auto,
107,,112,90,89,1,"LINESTRING (112.930359 28.161935, 112.930375 28.162104)",1,18.86,residential,6,,,,auto,
108,,120,88,86,1,"LINESTRING (112.930373 28.162436, 112.93037 28.162715)",1,31.02,residential,6,,,,auto,
