node_id,x_coord,y_coord
0,0.000272,0.000559
1,0.000186,0.000398
2,0.000094,0.000203
3,0.000283,0.000654
4,0.000245,0.000652
5,0.000650,0.000628
6,0.000040,0.000341
7,0.000185,0.000779
8,0.000166,0.000682
9,0.000161,0.000629
10,0.000310,0.000474
11,0.000117,0.000421
12,0.000787,0.000797
13,0.000271,0.000752
14,0.000082,0.000706
15,0.000205,0.000621
16,0.000050,0.000516
17,0.000274,0.000506
18,0.000133,0.000502
19,0.000493,0.000483
20,0.000272,0.000472
21,0.000194,0.000451
22,0.000225,0.000403
23,0.000010,0.000357
24,0.000338,0.000334
25,0.000097,0.000323
26,0.000096,0.000233
27,0.000040,0.000233
28,0.000164,0.000221
29,0.000025,0.000009
30,0.000062,0.000769
31,0.000348,0.000487
32,0.000320,0.000550
33,0.000025,0.000498
34,0.000245,0.000795
35,0.000000,0.000651
36,0.000007,0.000070
37,0.000034,0.000708
38,0.000666,0.000789
39,0.000559,0.000627
40,0.000287,0.000716
41,0.000353,0.000360
42,0.000012,0.000676
43,0.000322,0.000440
44,0.000103,0.000152
45,0.000014,0.000792
46,0.000413,0.000312
47,0.000126,0.000768
48,0.000004,0.000458
49,0.000298,0.000313
50,0.000140,0.000215
51,0.000012,0.000174
52,0.000587,0.000789
53,0.000549,0.000781
54,0.000182,0.000749
55,0.000594,0.000653
56,0.000152,0.000600
57,0.000258,0.000590
58,0.000330,0.000416
59,0.000114,0.000390
60,0.000094,0.000287
61,0.000515,0.000204
62,0.000521,0.000180
63,0.000529,0.000147
64,0.000530,0.000122
65,0.000538,0.000086
66,0.000542,0.000056
67,0.000547,0.000026
68,0.000144,0.000013
69,0.000494,0.000237
70,0.000381,0.000340
71,0.000442,0.000285
72,0.000467,0.000263
