link_id,from_node_id,to_node_id,length,geometry
0,28,50,24.74,"LINESTRING (0.000164 0.000221, 0.000140 0.000215)"
1,61,62,24.74,"LINESTRING (0.000515 0.000204, 0.000521 0.000180)"
2,63,64,25.02,"LINESTRING (0.000529 0.000147, 0.000530 0.000122)"
3,43,58,25.3,"LINESTRING (0.000322 0.000440, 0.000330 0.000416)"
4,35,42,27.73,"LINESTRING (0.000000 0.000651, 0.000012 0.000676)"
5,24,41,30.02,"LINESTRING (0.000338 0.000334, 0.000353 0.000360)"
6,2,26,30.07,"LINESTRING (0.000094 0.000203, 0.000096 0.000233)"
7,7,54,30.15,"LINESTRING (0.000185 0.000779, 0.000182 0.000749)"
8,65,66,30.27,"LINESTRING (0.000538 0.000086, 0.000542 0.000056)"
9,9,56,30.36,"LINESTRING (0.000161 0.000629, 0.000152 0.000600)"
10,66,67,30.41,"LINESTRING (0.000542 0.000056, 0.000547 0.000026)"
11,16,33,30.81,"LINESTRING (0.000050 0.000516, 0.000025 0.000498)"
12,11,59,31.14,"LINESTRING (0.000117 0.000421, 0.000114 0.000390)"
13,71,72,33.3,"LINESTRING (0.000442 0.000285, 0.000467 0.000263)"
14,62,63,33.96,"LINESTRING (0.000521 0.000180, 0.000529 0.000147)"
15,0,57,34.01,"LINESTRING (0.000272 0.000559, 0.000258 0.000590)"
16,41,70,34.41,"LINESTRING (0.000353 0.000360, 0.000381 0.000340)"
17,10,43,36.06,"LINESTRING (0.000310 0.000474, 0.000322 0.000440)"
18,25,60,36.12,"LINESTRING (0.000097 0.000323, 0.000094 0.000287)"
19,64,65,36.88,"LINESTRING (0.000530 0.000122, 0.000538 0.000086)"
20,69,72,37.48,"LINESTRING (0.000494 0.000237, 0.000467 0.000263)"
21,3,4,38.05,"LINESTRING (0.000283 0.000654, 0.000245 0.000652)"
22,37,42,38.83,"LINESTRING (0.000034 0.000708, 0.000012 0.000676)"
23,61,69,39.12,"LINESTRING (0.000515 0.000204, 0.000494 0.000237)"
24,46,71,39.62,"LINESTRING (0.000413 0.000312, 0.000442 0.000285)"
25,10,31,40.16,"LINESTRING (0.000310 0.000474, 0.000348 0.000487)"
26,46,70,42.52,"LINESTRING (0.000413 0.000312, 0.000381 0.000340)"
27,9,15,44.72,"LINESTRING (0.000161 0.000629, 0.000205 0.000621)"
28,24,49,45.18,"LINESTRING (0.000338 0.000334, 0.000298 0.000313)"
29,2,50,47.54,"LINESTRING (0.000094 0.000203, 0.000140 0.000215)"
30,30,45,53.23,"LINESTRING (0.000062 0.000769, 0.000014 0.000792)"
31,8,9,53.24,"LINESTRING (0.000166 0.000682, 0.000161 0.000629)"
32,1,21,53.6,"LINESTRING (0.000186 0.000398, 0.000194 0.000451)"
33,26,60,54.04,"LINESTRING (0.000096 0.000233, 0.000094 0.000287)"
34,26,27,56.0,"LINESTRING (0.000096 0.000233, 0.000040 0.000233)"
35,6,25,59.77,"LINESTRING (0.000040 0.000341, 0.000097 0.000323)"
36,7,47,60.02,"LINESTRING (0.000185 0.000779, 0.000126 0.000768)"
37,41,58,60.54,"LINESTRING (0.000353 0.000360, 0.000330 0.000416)"
38,7,34,62.1,"LINESTRING (0.000185 0.000779, 0.000245 0.000795)"
39,3,40,62.13,"LINESTRING (0.000283 0.000654, 0.000287 0.000716)"
40,4,57,63.35,"LINESTRING (0.000245 0.000652, 0.000258 0.000590)"
41,29,36,63.6,"LINESTRING (0.000025 0.000009, 0.000007 0.000070)"
42,30,37,67.12,"LINESTRING (0.000062 0.000769, 0.000034 0.000708)"
43,8,54,68.88,"LINESTRING (0.000166 0.000682, 0.000182 0.000749)"
44,25,59,69.12,"LINESTRING (0.000097 0.000323, 0.000114 0.000390)"
45,41,49,72.35,"LINESTRING (0.000353 0.000360, 0.000298 0.000313)"
46,1,11,72.73,"LINESTRING (0.000186 0.000398, 0.000117 0.000421)"
47,11,18,82.57,"LINESTRING (0.000117 0.000421, 0.000133 0.000502)"
48,16,18,84.17,"LINESTRING (0.000050 0.000516, 0.000133 0.000502)"
49,2,51,86.98,"LINESTRING (0.000094 0.000203, 0.000012 0.000174)"
50,0,10,93.11,"LINESTRING (0.000272 0.000559, 0.000310 0.000474)"
51,18,56,99.82,"LINESTRING (0.000133 0.000502, 0.000152 0.000600)"
52,30,42,105.59,"LINESTRING (0.000062 0.000769, 0.000012 0.000676)"
53,34,47,122.02,"LINESTRING (0.000245 0.000795, 0.000126 0.000768)"
54,0,43,129.08,"LINESTRING (0.000272 0.000559, 0.000322 0.000440)"
55,50,51,134.41,"LINESTRING (0.000140 0.000215, 0.000012 0.000174)"
56,8,37,134.54,"LINESTRING (0.000166 0.000682, 0.000034 0.000708)"
57,52,55,136.18,"LINESTRING (0.000587 0.000789, 0.000594 0.000653)"
58,4,34,143.0,"LINESTRING (0.000245 0.000652, 0.000245 0.000795)"
59,44,68,144.92,"LINESTRING (0.000103 0.000152, 0.000144 0.000013)"
60,19,31,145.06,"LINESTRING (0.000493 0.000483, 0.000348 0.000487)"
61,54,56,151.99,"LINESTRING (0.000182 0.000749, 0.000152 0.000600)"
62,39,53,154.32,"LINESTRING (0.000559 0.000627, 0.000549 0.000781)"
63,5,38,161.79,"LINESTRING (0.000650 0.000628, 0.000666 0.000789)"
64,57,58,188.31,"LINESTRING (0.000258 0.000590, 0.000330 0.000416)"
65,14,16,192.68,"LINESTRING (0.000082 0.000706, 0.000050 0.000516)"
66,56,59,213.41,"LINESTRING (0.000152 0.000600, 0.000114 0.000390)"
67,18,60,218.51,"LINESTRING (0.000133 0.000502, 0.000094 0.000287)"
