node_id,x_coord,y_coord
0,0.000163,0.000211
1,0.000315,0.000772
2,0.000686,0.000743
3,0.000582,0.000608
4,0.000778,0.000506
5,0.000302,0.000490
6,0.000293,0.000436
7,0.000005,0.000362
8,0.000193,0.000269
9,0.000128,0.000154
10,0.000581,0.000648
11,0.000800,0.000641
12,0.000616,0.000524
13,0.000360,0.000488
14,0.000665,0.000033
15,0.000345,0.000757
16,0.000368,0.000716
17,0.000344,0.000595
18,0.000325,0.000564
19,0.000800,0.000462
20,0.000085,0.000307
21,0.000122,0.000282
22,0.000185,0.000235
23,0.000214,0.000221
24,0.000289,0.000198
25,0.000253,0.000203
26,0.000330,0.000167
27,0.000392,0.000138
28,0.000437,0.000129
29,0.000513,0.000094
30,0.000786,0.000749
31,0.000367,0.000162
32,0.000470,0.000114
33,0.000543,0.000081
34,0.000571,0.000070
35,0.000630,0.000051
36,0.000697,0.000035
37,0.000727,0.000030
38,0.000758,0.000026
39,0.000793,0.000011
40,0.000336,0.000794
41,0.000379,0.000688
42,0.000380,0.000655
43,0.000305,0.000530
44,0.000363,0.000630
45,0.000155,0.000263
46,0.000490,0.000092
