link_id,from_node_id,to_node_id,length,geometry
0,29,46,23.09,"LINESTRING (0.000513 0.000094, 0.000490 0.000092)"
1,32,46,29.73,"LINESTRING (0.000470 0.000114, 0.000490 0.000092)"
2,16,41,30.08,"LINESTRING (0.000368 0.000716, 0.000379 0.000688)"
3,33,34,30.08,"LINESTRING (0.000543 0.000081, 0.000571 0.000070)"
4,42,44,30.23,"LINESTRING (0.000380 0.000655, 0.000363 0.000630)"
5,36,37,30.41,"LINESTRING (0.000697 0.000035, 0.000727 0.000030)"
6,37,38,31.26,"LINESTRING (0.000727 0.000030, 0.000758 0.000026)"
7,14,36,32.06,"LINESTRING (0.000665 0.000033, 0.000697 0.000035)"
8,22,23,32.2,"LINESTRING (0.000185 0.000235, 0.000214 0.000221)"
9,29,33,32.7,"LINESTRING (0.000513 0.000094, 0.000543 0.000081)"
10,41,42,33.02,"LINESTRING (0.000379 0.000688, 0.000380 0.000655)"
11,27,31,34.66,"LINESTRING (0.000392 0.000138, 0.000367 0.000162)"
12,8,22,34.93,"LINESTRING (0.000193 0.000269, 0.000185 0.000235)"
13,28,32,36.25,"LINESTRING (0.000437 0.000129, 0.000470 0.000114)"
14,24,25,36.35,"LINESTRING (0.000289 0.000198, 0.000253 0.000203)"
15,17,18,36.36,"LINESTRING (0.000344 0.000595, 0.000325 0.000564)"
16,26,31,37.34,"LINESTRING (0.000330 0.000167, 0.000367 0.000162)"
17,15,40,38.08,"LINESTRING (0.000345 0.000757, 0.000336 0.000794)"
18,21,45,38.08,"LINESTRING (0.000122 0.000282, 0.000155 0.000263)"
19,38,39,38.08,"LINESTRING (0.000758 0.000026, 0.000793 0.000011)"
20,14,35,39.36,"LINESTRING (0.000665 0.000033, 0.000630 0.000051)"
21,18,43,39.45,"LINESTRING (0.000325 0.000564, 0.000305 0.000530)"
22,17,44,39.82,"LINESTRING (0.000344 0.000595, 0.000363 0.000630)"
23,3,10,40.01,"LINESTRING (0.000582 0.000608, 0.000581 0.000648)"
24,5,43,40.11,"LINESTRING (0.000302 0.000490, 0.000305 0.000530)"
25,22,45,41.04,"LINESTRING (0.000185 0.000235, 0.000155 0.000263)"
26,23,25,42.95,"LINESTRING (0.000214 0.000221, 0.000253 0.000203)"
27,20,21,44.65,"LINESTRING (0.000085 0.000307, 0.000122 0.000282)"
28,27,28,45.89,"LINESTRING (0.000392 0.000138, 0.000437 0.000129)"
29,15,16,47.01,"LINESTRING (0.000345 0.000757, 0.000368 0.000716)"
30,29,32,47.42,"LINESTRING (0.000513 0.000094, 0.000470 0.000114)"
31,4,19,49.19,"LINESTRING (0.000778 0.000506, 0.000800 0.000462)"
32,24,26,51.4,"LINESTRING (0.000289 0.000198, 0.000330 0.000167)"
33,33,46,54.13,"LINESTRING (0.000543 0.000081, 0.000490 0.000092)"
34,5,13,58.03,"LINESTRING (0.000302 0.000490, 0.000360 0.000488)"
35,34,35,61.98,"LINESTRING (0.000571 0.000070, 0.000630 0.000051)"
36,28,46,64.64,"LINESTRING (0.000437 0.000129, 0.000490 0.000092)"
37,0,9,66.89,"LINESTRING (0.000163 0.000211, 0.000128 0.000154)"
38,26,27,68.45,"LINESTRING (0.000330 0.000167, 0.000392 0.000138)"
39,37,39,68.68,"LINESTRING (0.000727 0.000030, 0.000793 0.000011)"
40,35,36,68.88,"LINESTRING (0.000630 0.000051, 0.000697 0.000035)"
41,28,31,77.39,"LINESTRING (0.000437 0.000129, 0.000367 0.000162)"
42,23,24,78.45,"LINESTRING (0.000214 0.000221, 0.000289 0.000198)"
43,21,22,78.6,"LINESTRING (0.000122 0.000282, 0.000185 0.000235)"
44,34,46,83.93,"LINESTRING (0.000571 0.000070, 0.000490 0.000092)"
45,25,26,85.0,"LINESTRING (0.000253 0.000203, 0.000330 0.000167)"
46,24,31,85.91,"LINESTRING (0.000289 0.000198, 0.000367 0.000162)"
47,14,38,93.26,"LINESTRING (0.000665 0.000033, 0.000758 0.000026)"
48,7,20,97.08,"LINESTRING (0.000005 0.000362, 0.000085 0.000307)"
49,2,30,100.18,"LINESTRING (0.000686 0.000743, 0.000786 0.000749)"
50,14,34,101.02,"LINESTRING (0.000665 0.000033, 0.000571 0.000070)"
51,27,46,108.26,"LINESTRING (0.000392 0.000138, 0.000490 0.000092)"
52,22,24,110.39,"LINESTRING (0.000185 0.000235, 0.000289 0.000198)"
53,25,45,114.91,"LINESTRING (0.000253 0.000203, 0.000155 0.000263)"
54,14,39,129.88,"LINESTRING (0.000665 0.000033, 0.000793 0.000011)"
55,24,45,148.93,"LINESTRING (0.000289 0.000198, 0.000155 0.000263)"
56,14,46,184.68,"LINESTRING (0.000665 0.000033, 0.000490 0.000092)"
57,7,22,220.29,"LINESTRING (0.000005 0.000362, 0.000185 0.000235)"
