link_id,from_node_id,to_node_id,length,geometry
0,9,79,24.02,"LINESTRING (0.000231 0.000231, 0.000255 0.000230)"
1,51,80,25.08,"LINESTRING (0.000437 0.000172, 0.000414 0.000182)"
2,14,83,26.68,"LINESTRING (0.000703 0.000448, 0.000697 0.000474)"
3,15,36,29.12,"LINESTRING (0.000570 0.000790, 0.000542 0.000798)"
4,33,88,29.41,"LINESTRING (0.000286 0.000664, 0.000262 0.000647)"
5,73,74,29.43,"LINESTRING (0.000005 0.000267, 0.000034 0.000262)"
6,1,79,29.61,"LINESTRING (0.000284 0.000224, 0.000255 0.000230)"
7,8,84,30.15,"LINESTRING (0.000240 0.000484, 0.000243 0.000454)"
8,12,33,30.89,"LINESTRING (0.000313 0.000649, 0.000286 0.000664)"
9,53,64,31.78,"LINESTRING (0.000561 0.000519, 0.000590 0.000506)"
10,76,77,32.25,"LINESTRING (0.000103 0.000252, 0.000135 0.000248)"
11,67,68,32.39,"LINESTRING (0.000038 0.000402, 0.000070 0.000397)"
12,58,60,33.38,"LINESTRING (0.000310 0.000553, 0.000343 0.000548)"
13,66,67,33.38,"LINESTRING (0.000005 0.000407, 0.000038 0.000402)"
14,69,70,33.38,"LINESTRING (0.000106 0.000392, 0.000139 0.000387)"
15,46,65,33.53,"LINESTRING (0.000633 0.000442, 0.000665 0.000432)"
16,34,83,34.06,"LINESTRING (0.000695 0.000508, 0.000697 0.000474)"
17,70,71,34.37,"LINESTRING (0.000139 0.000387, 0.000173 0.000382)"
18,75,76,34.37,"LINESTRING (0.000069 0.000257, 0.000103 0.000252)"
19,71,72,35.23,"LINESTRING (0.000173 0.000382, 0.000208 0.000378)"
20,74,75,35.36,"LINESTRING (0.000034 0.000262, 0.000069 0.000257)"
21,77,78,35.36,"LINESTRING (0.000135 0.000248, 0.000170 0.000243)"
22,49,64,35.44,"LINESTRING (0.000624 0.000496, 0.000590 0.000506)"
23,5,85,36.12,"LINESTRING (0.000265 0.000058, 0.000268 0.000022)"
24,68,69,36.35,"LINESTRING (0.000070 0.000397, 0.000106 0.000392)"
25,44,48,38.21,"LINESTRING (0.000163 0.000055, 0.000159 0.000017)"
26,61,62,42.0,"LINESTRING (0.000520 0.000539, 0.000478 0.000539)"
27,7,82,43.01,"LINESTRING (0.000172 0.000753, 0.000159 0.000794)"
28,8,22,43.01,"LINESTRING (0.000240 0.000484, 0.000227 0.000525)"
29,24,50,44.18,"LINESTRING (0.000579 0.000412, 0.000575 0.000456)"
30,53,61,45.62,"LINESTRING (0.000561 0.000519, 0.000520 0.000539)"
31,2,21,46.04,"LINESTRING (0.000217 0.000621, 0.000219 0.000575)"
32,3,11,46.17,"LINESTRING (0.000106 0.000585, 0.000102 0.000539)"
33,38,45,50.09,"LINESTRING (0.000362 0.000393, 0.000312 0.000390)"
34,27,51,50.33,"LINESTRING (0.000419 0.000125, 0.000437 0.000172)"
35,21,22,50.64,"LINESTRING (0.000219 0.000575, 0.000227 0.000525)"
36,55,80,53.04,"LINESTRING (0.000376 0.000145, 0.000414 0.000182)"
37,46,49,54.74,"LINESTRING (0.000633 0.000442, 0.000624 0.000496)"
38,29,86,56.52,"LINESTRING (0.000509 0.000062, 0.000496 0.000007)"
39,40,72,57.71,"LINESTRING (0.000265 0.000369, 0.000208 0.000378)"
40,40,41,58.19,"LINESTRING (0.000265 0.000369, 0.000284 0.000314)"
41,43,52,60.44,"LINESTRING (0.000029 0.000062, 0.000046 0.000004)"
42,9,78,62.17,"LINESTRING (0.000231 0.000231, 0.000170 0.000243)"
43,54,83,62.48,"LINESTRING (0.000737 0.000426, 0.000697 0.000474)"
44,57,58,64.38,"LINESTRING (0.000246 0.000560, 0.000310 0.000553)"
45,26,81,65.62,"LINESTRING (0.000277 0.000139, 0.000342 0.000130)"
46,62,63,66.0,"LINESTRING (0.000478 0.000539, 0.000412 0.000539)"
47,60,63,69.58,"LINESTRING (0.000343 0.000548, 0.000412 0.000539)"
48,25,46,72.12,"LINESTRING (0.000654 0.000373, 0.000633 0.000442)"
49,16,37,81.5,"LINESTRING (0.000304 0.000782, 0.000223 0.000791)"
50,5,26,81.88,"LINESTRING (0.000265 0.000058, 0.000277 0.000139)"
51,1,26,85.29,"LINESTRING (0.000284 0.000224, 0.000277 0.000139)"
52,40,84,87.8,"LINESTRING (0.000265 0.000369, 0.000243 0.000454)"
53,1,41,90.0,"LINESTRING (0.000284 0.000224, 0.000284 0.000314)"
54,5,10,91.78,"LINESTRING (0.000265 0.000058, 0.000355 0.000040)"
55,11,59,97.51,"LINESTRING (0.000102 0.000539, 0.000005 0.000549)"
56,5,44,102.04,"LINESTRING (0.000265 0.000058, 0.000163 0.000055)"
57,3,56,102.96,"LINESTRING (0.000106 0.000585, 0.000005 0.000605)"
58,1,4,104.24,"LINESTRING (0.000284 0.000224, 0.000387 0.000208)"
59,20,47,105.57,"LINESTRING (0.000119 0.000663, 0.000014 0.000674)"
60,3,21,113.44,"LINESTRING (0.000106 0.000585, 0.000219 0.000575)"
61,7,19,116.0,"LINESTRING (0.000172 0.000753, 0.000056 0.000754)"
62,11,22,125.78,"LINESTRING (0.000102 0.000539, 0.000227 0.000525)"
63,43,44,134.18,"LINESTRING (0.000029 0.000062, 0.000163 0.000055)"
64,2,7,139.46,"LINESTRING (0.000217 0.000621, 0.000172 0.000753)"
65,41,84,145.88,"LINESTRING (0.000284 0.000314, 0.000243 0.000454)"
66,33,87,156.34,"LINESTRING (0.000286 0.000664, 0.000407 0.000763)"
67,2,84,169.01,"LINESTRING (0.000217 0.000621, 0.000243 0.000454)"
68,0,8,210.49,"LINESTRING (0.000449 0.000459, 0.000240 0.000484)"
