link_id,from_node_id,to_node_id,length,geometry
0,59,64,23.6,"LINESTRING (0.000341 0.000286, 0.000327 0.000267)"
1,54,55,24.0,"LINESTRING (0.000031 0.000297, 0.000007 0.000297)"
2,37,118,26.93,"LINESTRING (0.000470 0.000462, 0.000484 0.000485)"
3,13,104,28.64,"LINESTRING (0.000071 0.000725, 0.000099 0.000719)"
4,15,20,28.64,"LINESTRING (0.000560 0.000697, 0.000566 0.000669)"
5,24,108,29.07,"LINESTRING (0.000435 0.000635, 0.000461 0.000622)"
6,0,52,29.15,"LINESTRING (0.000371 0.000313, 0.000400 0.000310)"
7,42,120,30.02,"LINESTRING (0.000514 0.000412, 0.000484 0.000411)"
8,56,57,31.0,"LINESTRING (0.000135 0.000291, 0.000104 0.000291)"
9,63,67,31.06,"LINESTRING (0.000753 0.000265, 0.000770 0.000239)"
10,13,106,31.14,"LINESTRING (0.000071 0.000725, 0.000040 0.000728)"
11,8,10,31.78,"LINESTRING (0.000278 0.000784, 0.000247 0.000777)"
12,84,107,32.02,"LINESTRING (0.000534 0.000129, 0.000566 0.000128)"
13,19,105,32.14,"LINESTRING (0.000333 0.000665, 0.000301 0.000668)"
14,4,109,33.3,"LINESTRING (0.000608 0.000459, 0.000586 0.000484)"
15,17,105,35.17,"LINESTRING (0.000267 0.000677, 0.000301 0.000668)"
16,104,116,35.74,"LINESTRING (0.000099 0.000719, 0.000133 0.000708)"
17,14,116,38.47,"LINESTRING (0.000171 0.000702, 0.000133 0.000708)"
18,91,92,41.0,"LINESTRING (0.000310 0.000104, 0.000269 0.000104)"
19,38,40,43.29,"LINESTRING (0.000678 0.000440, 0.000721 0.000435)"
20,2,17,46.69,"LINESTRING (0.000221 0.000685, 0.000267 0.000677)"
21,23,117,47.17,"LINESTRING (0.000681 0.000639, 0.000728 0.000643)"
22,43,46,48.83,"LINESTRING (0.000657 0.000396, 0.000685 0.000356)"
23,2,14,52.81,"LINESTRING (0.000221 0.000685, 0.000171 0.000702)"
24,13,115,64.78,"LINESTRING (0.000071 0.000725, 0.000007 0.000735)"
25,80,81,66.03,"LINESTRING (0.000092 0.000171, 0.000026 0.000173)"
26,65,112,68.03,"LINESTRING (0.000110 0.000253, 0.000042 0.000255)"
27,1,36,69.01,"LINESTRING (0.000773 0.000477, 0.000704 0.000478)"
28,85,86,75.0,"LINESTRING (0.000410 0.000122, 0.000335 0.000122)"
29,87,88,83.38,"LINESTRING (0.000015 0.000122, 0.000098 0.000114)"
30,79,119,84.29,"LINESTRING (0.000129 0.000171, 0.000213 0.000164)"
31,16,27,93.13,"LINESTRING (0.000517 0.000691, 0.000522 0.000598)"
32,73,74,96.02,"LINESTRING (0.000087 0.000210, 0.000183 0.000208)"
33,72,110,99.01,"LINESTRING (0.000403 0.000211, 0.000502 0.000212)"
34,31,32,118.27,"LINESTRING (0.000739 0.000547, 0.000621 0.000539)"
