link_id,from_node_id,to_node_id,length,geometry
0,49,50,24.0,"LINESTRING (0.000031 0.000297, 0.000007 0.000297)"
1,33,108,26.93,"LINESTRING (0.000470 0.000462, 0.000484 0.000485)"
2,63,64,27.0,"LINESTRING (0.000041 0.000216, 0.000014 0.000216)"
3,12,16,28.64,"LINESTRING (0.000560 0.000697, 0.000566 0.000669)"
4,20,99,29.07,"LINESTRING (0.000435 0.000635, 0.000461 0.000622)"
5,38,110,30.02,"LINESTRING (0.000514 0.000412, 0.000484 0.000411)"
6,51,52,31.0,"LINESTRING (0.000135 0.000291, 0.000104 0.000291)"
7,57,61,31.06,"LINESTRING (0.000753 0.000265, 0.000770 0.000239)"
8,7,9,31.78,"LINESTRING (0.000278 0.000784, 0.000247 0.000777)"
9,78,98,32.02,"LINESTRING (0.000534 0.000129, 0.000566 0.000128)"
10,0,43,33.29,"LINESTRING (0.000371 0.000313, 0.000389 0.000341)"
11,3,100,33.3,"LINESTRING (0.000608 0.000459, 0.000586 0.000484)"
12,29,31,36.07,"LINESTRING (0.000534 0.000535, 0.000509 0.000509)"
13,96,105,39.82,"LINESTRING (0.000126 0.000019, 0.000091 0.000000)"
14,85,86,41.0,"LINESTRING (0.000310 0.000104, 0.000269 0.000104)"
15,34,36,43.29,"LINESTRING (0.000678 0.000440, 0.000721 0.000435)"
16,72,76,44.78,"LINESTRING (0.000277 0.000189, 0.000255 0.000150)"
17,19,107,47.17,"LINESTRING (0.000681 0.000639, 0.000728 0.000643)"
18,22,102,48.27,"LINESTRING (0.000081 0.000602, 0.000034 0.000591)"
19,39,42,48.83,"LINESTRING (0.000657 0.000396, 0.000685 0.000356)"
20,0,47,59.08,"LINESTRING (0.000371 0.000313, 0.000430 0.000316)"
21,74,75,66.03,"LINESTRING (0.000092 0.000171, 0.000026 0.000173)"
22,59,103,68.03,"LINESTRING (0.000110 0.000253, 0.000042 0.000255)"
23,1,32,69.01,"LINESTRING (0.000773 0.000477, 0.000704 0.000478)"
24,79,80,75.0,"LINESTRING (0.000410 0.000122, 0.000335 0.000122)"
25,81,82,83.38,"LINESTRING (0.000015 0.000122, 0.000098 0.000114)"
26,73,109,84.29,"LINESTRING (0.000129 0.000171, 0.000213 0.000164)"
27,13,23,93.13,"LINESTRING (0.000517 0.000691, 0.000522 0.000598)"
28,67,68,96.02,"LINESTRING (0.000087 0.000210, 0.000183 0.000208)"
29,43,58,96.54,"LINESTRING (0.000389 0.000341, 0.000327 0.000267)"
30,66,101,99.01,"LINESTRING (0.000403 0.000211, 0.000502 0.000212)"
31,27,28,118.27,"LINESTRING (0.000739 0.000547, 0.000621 0.000539)"
32,15,106,333.43,"LINESTRING (0.000333 0.000665, 0.000007 0.000735)"
