link_id,from_node_id,to_node_id,length,geometry
0,49,120,24.02,"LINESTRING (0.000692 0.000439, 0.000668 0.000438)"
1,97,136,24.74,"LINESTRING (0.000031 0.000593, 0.000025 0.000617)"
2,101,135,25.0,"LINESTRING (0.000567 0.000690, 0.000567 0.000665)"
3,55,110,25.08,"LINESTRING (0.000440 0.000318, 0.000415 0.000316)"
4,5,146,25.46,"LINESTRING (0.000453 0.000416, 0.000435 0.000398)"
5,46,142,25.5,"LINESTRING (0.000582 0.000601, 0.000563 0.000584)"
6,6,147,25.61,"LINESTRING (0.000678 0.000357, 0.000698 0.000341)"
7,27,108,26.08,"LINESTRING (0.000785 0.000473, 0.000799 0.000495)"
8,25,80,26.4,"LINESTRING (0.000478 0.000116, 0.000489 0.000140)"
9,28,29,27.2,"LINESTRING (0.000275 0.000175, 0.000253 0.000159)"
10,3,151,27.46,"LINESTRING (0.000645 0.000636, 0.000622 0.000621)"
11,23,149,27.59,"LINESTRING (0.000330 0.000277, 0.000350 0.000296)"
12,36,112,27.73,"LINESTRING (0.000680 0.000776, 0.000705 0.000788)"
13,19,117,27.86,"LINESTRING (0.000324 0.000669, 0.000350 0.000659)"
14,72,112,29.83,"LINESTRING (0.000728 0.000769, 0.000705 0.000788)"
15,7,79,29.97,"LINESTRING (0.000786 0.000221, 0.000799 0.000194)"
16,94,113,30.0,"LINESTRING (0.000291 0.000794, 0.000267 0.000776)"
17,12,129,30.07,"LINESTRING (0.000442 0.000040, 0.000412 0.000042)"
18,77,128,30.07,"LINESTRING (0.000320 0.000068, 0.000290 0.000066)"
19,87,137,30.07,"LINESTRING (0.000140 0.000578, 0.000142 0.000608)"
20,4,145,30.41,"LINESTRING (0.000631 0.000425, 0.000652 0.000403)"
21,2,26,30.46,"LINESTRING (0.000428 0.000642, 0.000456 0.000630)"
22,4,144,30.61,"LINESTRING (0.000631 0.000425, 0.000612 0.000449)"
23,13,130,30.81,"LINESTRING (0.000035 0.000017, 0.000005 0.000010)"
24,92,106,30.87,"LINESTRING (0.000799 0.000113, 0.000786 0.000085)"
25,147,148,31.62,"LINESTRING (0.000698 0.000341, 0.000716 0.000315)"
26,1,143,31.76,"LINESTRING (0.000542 0.000554, 0.000557 0.000526)"
27,8,150,31.91,"LINESTRING (0.000301 0.000220, 0.000318 0.000247)"
28,20,117,32.14,"LINESTRING (0.000382 0.000656, 0.000350 0.000659)"
29,30,31,32.25,"LINESTRING (0.000558 0.000125, 0.000590 0.000121)"
30,74,139,32.28,"LINESTRING (0.000260 0.000054, 0.000251 0.000085)"
31,23,150,32.31,"LINESTRING (0.000330 0.000277, 0.000318 0.000247)"
