node_id,x_coord,y_coord
0,0.000545,0.000735
1,0.000542,0.000554
2,0.000428,0.000642
3,0.000645,0.000636
4,0.000631,0.000425
5,0.000453,0.000416
6,0.000678,0.000357
7,0.000786,0.000221
8,0.000301,0.000220
9,0.000228,0.000105
10,0.000336,0.000100
11,0.000462,0.000078
12,0.000442,0.000040
13,0.000035,0.000017
14,0.000271,0.000016
15,0.000366,0.000006
16,0.000315,0.000175
17,0.000575,0.000187
18,0.000374,0.000044
19,0.000324,0.000669
20,0.000382,0.000656
21,0.000517,0.000632
22,0.000723,0.000551
23,0.000330,0.000277
24,0.000277,0.000121
25,0.000478,0.000116
26,0.000456,0.000630
27,0.000785,0.000473
28,0.000275,0.000175
29,0.000253,0.000159
30,0.000558,0.000125
31,0.000590,0.000121
32,0.000204,0.000082
33,0.000684,0.000104
34,0.000441,0.000795
35,0.000521,0.000781
36,0.000680,0.000776
37,0.000338,0.000769
38,0.000013,0.000738
39,0.000056,0.000730
40,0.000388,0.000712
41,0.000427,0.000698
42,0.000151,0.000703
43,0.000475,0.000694
44,0.000449,0.000669
45,0.000789,0.000648
46,0.000582,0.000601
47,0.000616,0.000536
48,0.000575,0.000498
49,0.000692,0.000439
50,0.000605,0.000401
51,0.000793,0.000382
52,0.000031,0.000373
53,0.000052,0.000352
54,0.000576,0.000336
55,0.000440,0.000318
56,0.000153,0.000286
57,0.000151,0.000249
58,0.000687,0.000233
59,0.000178,0.000208
60,0.000393,0.000210
61,0.000681,0.000168
62,0.000386,0.000149
63,0.000107,0.000109
64,0.000403,0.000100
65,0.000145,0.000069
66,0.000592,0.000053
67,0.000751,0.000040
68,0.000778,0.000014
69,0.000518,0.000013
70,0.000085,0.000001
71,0.000674,0.000005
72,0.000728,0.000769
73,0.000749,0.000277
74,0.000260,0.000054
75,0.000045,0.000297
76,0.000514,0.000579
77,0.000320,0.000068
78,0.000499,0.000212
79,0.000799,0.000194
80,0.000489,0.000140
81,0.000338,0.000135
82,0.000203,0.000000
83,0.000491,0.000769
84,0.000578,0.000757
85,0.000103,0.000721
86,0.000721,0.000636
87,0.000140,0.000578
88,0.000692,0.000476
89,0.000509,0.000410
90,0.000451,0.000208
91,0.000320,0.000005
92,0.000799,0.000113
93,0.000002,0.000114
94,0.000291,0.000794
95,0.000177,0.000782
96,0.000480,0.000601
97,0.000031,0.000593
98,0.000488,0.000494
99,0.000390,0.000346
100,0.000756,0.000795
101,0.000567,0.000690
102,0.000084,0.000653
103,0.000082,0.000604
104,0.000578,0.000261
105,0.000448,0.000142
106,0.000786,0.000085
107,0.000044,0.000664
108,0.000799,0.000495
109,0.000628,0.000324
110,0.000415,0.000316
111,0.000426,0.000004
112,0.000705,0.000788
113,0.000267,0.000776
114,0.000238,0.000683
115,0.000402,0.000675
116,0.000496,0.000658
117,0.000350,0.000659
118,0.000007,0.000646
119,0.000792,0.000557
120,0.000668,0.000438
121,0.000010,0.000299
122,0.000009,0.000257
123,0.000007,0.000217
124,0.000242,0.000203
125,0.000006,0.000176
126,0.000304,0.000140
127,0.000520,0.000130
128,0.000290,0.000066
129,0.000412,0.000042
130,0.000005,0.000010
131,0.000021,0.000795
132,0.000119,0.000792
133,0.000070,0.000792
134,0.000038,0.000698
135,0.000567,0.000665
136,0.000025,0.000617
137,0.000142,0.000608
138,0.000520,0.000474
139,0.000251,0.000085
140,0.000306,0.000034
141,0.000674,0.000688
142,0.000563,0.000584
143,0.000557,0.000526
144,0.000612,0.000449
145,0.000652,0.000403
146,0.000435,0.000398
147,0.000698,0.000341
148,0.000716,0.000315
149,0.000350,0.000296
150,0.000318,0.000247
151,0.000622,0.000621
152,0.000741,0.000400
153,0.000148,0.000031
