node_id,x_coord,y_coord
0,0.000449,0.000459
1,0.000284,0.000224
2,0.000217,0.000621
3,0.000106,0.000585
4,0.000387,0.000208
5,0.000265,0.000058
6,0.000484,0.000276
7,0.000172,0.000753
8,0.000240,0.000484
9,0.000231,0.000231
10,0.000355,0.000040
11,0.000102,0.000539
12,0.000313,0.000649
13,0.000771,0.000418
14,0.000703,0.000448
15,0.000570,0.000790
16,0.000304,0.000782
17,0.000071,0.000781
18,0.000030,0.000768
19,0.000056,0.000754
20,0.000119,0.000663
21,0.000219,0.000575
22,0.000227,0.000525
23,0.000469,0.000425
24,0.000579,0.000412
25,0.000654,0.000373
26,0.000277,0.000139
27,0.000419,0.000125
28,0.000717,0.000089
29,0.000509,0.000062
30,0.000419,0.000060
31,0.000454,0.000052
32,0.000780,0.000017
33,0.000286,0.000664
34,0.000695,0.000508
35,0.000773,0.000368
36,0.000542,0.000798
37,0.000223,0.000791
38,0.000362,0.000393
39,0.000557,0.000389
40,0.000265,0.000369
41,0.000284,0.000314
42,0.000734,0.000068
43,0.000029,0.000062
44,0.000163,0.000055
45,0.000312,0.000390
46,0.000633,0.000442
47,0.000014,0.000674
48,0.000159,0.000017
49,0.000624,0.000496
50,0.000575,0.000456
51,0.000437,0.000172
52,0.000046,0.000004
53,0.000561,0.000519
54,0.000737,0.000426
55,0.000376,0.000145
56,0.000005,0.000605
57,0.000246,0.000560
58,0.000310,0.000553
59,0.000005,0.000549
60,0.000343,0.000548
61,0.000520,0.000539
62,0.000478,0.000539
63,0.000412,0.000539
64,0.000590,0.000506
65,0.000665,0.000432
66,0.000005,0.000407
67,0.000038,0.000402
68,0.000070,0.000397
69,0.000106,0.000392
70,0.000139,0.000387
71,0.000173,0.000382
72,0.000208,0.000378
73,0.000005,0.000267
74,0.000034,0.000262
75,0.000069,0.000257
76,0.000103,0.000252
77,0.000135,0.000248
78,0.000170,0.000243
79,0.000255,0.000230
80,0.000414,0.000182
81,0.000342,0.000130
82,0.000159,0.000794
83,0.000697,0.000474
84,0.000243,0.000454
85,0.000268,0.000022
86,0.000496,0.000007
87,0.000407,0.000763
88,0.000262,0.000647
