From_Node,To_Node,From_Latitude,From_Longitude,To_Latitude,To_Longitude,num_lanes,geometry
Node_0_0,Node_0_1,39.117,161.561,39.117,161.565,2,"[{'lat': 39.117, 'lon': 161.561}, {'lat': 39.117, 'lon': 161.565}]"
Node_0_1,Node_0_2,39.117,161.565,39.117,161.569,2,"[{'lat': 39.117, 'lon': 161.565}, {'lat': 39.117, 'lon': 161.569}]"
Node_0_2,Node_0_3,39.117,161.569,39.117,161.573,2,"[{'lat': 39.117, 'lon': 161.569}, {'lat': 39.117, 'lon': 161.573}]"
Node_0_0,Node_1_0,39.117,161.561,39.121,161.561,2,"[{'lat': 39.117, 'lon': 161.561}, {'lat': 39.121, 'lon': 161.561}]"
Node_1_0,Node_1_1,39.121,161.561,39.121,161.565,2,"[{'lat': 39.121, 'lon': 161.561}, {'lat': 39.121, 'lon': 161.565}]"
Node_0_1,Node_1_1,39.117,161.565,39.121,161.565,2,"[{'lat': 39.117, 'lon': 161.565}, {'lat': 39.121, 'lon': 161.565}]"
Node_1_1,Node_1_2,39.121,161.565,39.121,161.569,2,"[{'lat': 39.121, 'lon': 161.565}, {'lat': 39.121, 'lon': 161.569}]"
Node_0_2,Node_1_2,39.117,161.569,39.121,161.569,2,"[{'lat': 39.117, 'lon': 161.569}, {'lat': 39.121, 'lon': 161.569}]"
Node_1_2,Node_1_3,39.121,161.569,39.121,161.573,2,"[{'lat': 39.121, 'lon': 161.569}, {'lat': 39.121, 'lon': 161.573}]"
Node_0_3,Node_1_3,39.117,161.573,39.121,161.573,2,"[{'lat': 39.117, 'lon': 161.573}, {'lat': 39.121, 'lon': 161.573}]"
Node_1_0,Node_2_0,39.121,161.561,39.125,161.561,2,"[{'lat': 39.121, 'lon': 161.561}, {'lat': 39.125, 'lon': 161.561}]"
Node_2_0,Node_2_1,39.125,161.561,39.125,161.565,2,"[{'lat': 39.125, 'lon': 161.561}, {'lat': 39.125, 'lon': 161.565}]"
Node_1_1,Node_2_1,39.121,161.565,39.125,161.565,2,"[{'lat': 39.121, 'lon': 161.565}, {'lat': 39.125, 'lon': 161.565}]"
Node_2_1,Node_2_2,39.125,161.565,39.125,161.569,2,"[{'lat': 39.125, 'lon': 161.565}, {'lat': 39.125, 'lon': 161.569}]"
Node_1_2,Node_2_2,39.121,161.569,39.125,161.569,2,"[{'lat': 39.121, 'lon': 161.569}, {'lat': 39.125, 'lon': 161.569}]"
Node_2_2,Node_2_3,39.125,161.569,39.125,161.573,2,"[{'lat': 39.125, 'lon': 161.569}, {'lat': 39.125, 'lon': 161.573}]"
Node_1_3,Node_2_3,39.121,161.573,39.125,161.573,2,"[{'lat': 39.121, 'lon': 161.573}, {'lat': 39.125, 'lon': 161.573}]"
Node_2_0,Node_3_0,39.125,161.561,39.129,161.561,2,"[{'lat': 39.125, 'lon': 161.561}, {'lat': 39.129, 'lon': 161.561}]"
Node_3_0,Node_3_1,39.129,161.561,39.129,161.565,2,"[{'lat': 39.129, 'lon': 161.561}, {'lat': 39.129, 'lon': 161.565}]"
Node_2_1,Node_3_1,39.125,161.565,39.129,161.565,2,"[{'lat': 39.125, 'lon': 161.565}, {'lat': 39.129, 'lon': 161.565}]"
Node_3_1,Node_3_2,39.129,161.565,39.129,161.569,2,"[{'lat': 39.129, 'lon': 161.565}, {'lat': 39.129, 'lon': 161.569}]"
Node_2_2,Node_3_2,39.125,161.569,39.129,161.569,2,"[{'lat': 39.125, 'lon': 161.569}, {'lat': 39.129, 'lon': 161.569}]"
Node_3_2,Node_3_3,39.129,161.569,39.129,161.573,2,"[{'lat': 39.129, 'lon': 161.569}, {'lat': 39.129, 'lon': 161.573}]"
Node_2_3,Node_3_3,39.125,161.573,39.129,161.573,2,"[{'lat': 39.125, 'lon': 161.573}, {'lat': 39.129, 'lon': 161.573}]"
Node_3_0,Node_4_0,39.129,161.561,39.133,161.561,2,"[{'lat': 39.129, 'lon': 161.561}, {'lat': 39.133, 'lon': 161.561}]"
Node_4_0,Node_4_1,39.133,161.561,39.133,161.565,2,"[{'lat': 39.133, 'lon': 161.561}, {'lat': 39.133, 'lon': 161.565}]"
Node_3_1,Node_4_1,39.129,161.565,39.133,161.565,2,"[{'lat': 39.129, 'lon': 161.565}, {'lat': 39.133, 'lon': 161.565}]"
Node_4_1,Node_4_2,39.133,161.565,39.133,161.569,2,"[{'lat': 39.133, 'lon': 161.565}, {'lat': 39.133, 'lon': 161.569}]"
Node_3_2,Node_4_2,39.129,161.569,39.133,161.569,2,"[{'lat': 39.129, 'lon': 161.569}, {'lat': 39.133, 'lon': 161.569}]"
Node_4_2,Node_4_3,39.133,161.569,39.133,161.573,2,"[{'lat': 39.133, 'lon': 161.569}, {'lat': 39.133, 'lon': 161.573}]"
Node_3_3,Node_4_3,39.129,161.573,39.133,161.573,2,"[{'lat': 39.129, 'lon': 161.573}, {'lat': 39.133, 'lon': 161.573}]"
