Edge_ID,From_Node,To_Node,From_Latitude,From_Longitude,To_Latitude,To_Longitude,num_lanes,geometry
1,Node_0_0,Node_0_1,39.121,161.561,39.121,161.565,2,"[{'lat': 39.121, 'lon': 161.561}, {'lat': 39.121, 'lon': 161.565}]"
2,Node_0_1,Node_0_2,39.121,161.565,39.121,161.569,2,"[{'lat': 39.121, 'lon': 161.565}, {'lat': 39.121, 'lon': 161.569}]"
3,Node_0_2,Node_0_3,39.121,161.569,39.121,161.573,2,"[{'lat': 39.121, 'lon': 161.569}, {'lat': 39.121, 'lon': 161.573}]"
4,Node_0_0,Node_1_0,39.121,161.561,39.125,161.561,2,"[{'lat': 39.121, 'lon': 161.561}, {'lat': 39.125, 'lon': 161.561}]"
5,Node_1_0,Node_1_1,39.125,161.561,39.125,161.565,2,"[{'lat': 39.125, 'lon': 161.561}, {'lat': 39.125, 'lon': 161.565}]"
6,Node_0_1,Node_1_1,39.121,161.565,39.125,161.565,2,"[{'lat': 39.121, 'lon': 161.565}, {'lat': 39.125, 'lon': 161.565}]"
7,Node_1_1,Node_1_2,39.125,161.565,39.125,161.569,2,"[{'lat': 39.125, 'lon': 161.565}, {'lat': 39.125, 'lon': 161.569}]"
8,Node_0_2,Node_1_2,39.121,161.569,39.125,161.569,2,"[{'lat': 39.121, 'lon': 161.569}, {'lat': 39.125, 'lon': 161.569}]"
9,Node_1_2,Node_1_3,39.125,161.569,39.125,161.573,2,"[{'lat': 39.125, 'lon': 161.569}, {'lat': 39.125, 'lon': 161.573}]"
10,Node_0_3,Node_1_3,39.121,161.573,39.125,161.573,2,"[{'lat': 39.121, 'lon': 161.573}, {'lat': 39.125, 'lon': 161.573}]"
11,Node_1_0,Node_2_0,39.125,161.561,39.129,161.561,2,"[{'lat': 39.125, 'lon': 161.561}, {'lat': 39.129, 'lon': 161.561}]"
12,Node_2_0,Node_2_1,39.129,161.561,39.129,161.565,2,"[{'lat': 39.129, 'lon': 161.561}, {'lat': 39.129, 'lon': 161.565}]"
13,Node_1_1,Node_2_1,39.125,161.565,39.129,161.565,2,"[{'lat': 39.125, 'lon': 161.565}, {'lat': 39.129, 'lon': 161.565}]"
14,Node_2_1,Node_2_2,39.129,161.565,39.129,161.569,2,"[{'lat': 39.129, 'lon': 161.565}, {'lat': 39.129, 'lon': 161.569}]"
15,Node_1_2,Node_2_2,39.125,161.569,39.129,161.569,2,"[{'lat': 39.125, 'lon': 161.569}, {'lat': 39.129, 'lon': 161.569}]"
16,Node_2_2,Node_2_3,39.129,161.569,39.129,161.573,2,"[{'lat': 39.129, 'lon': 161.569}, {'lat': 39.129, 'lon': 161.573}]"
17,Node_1_3,Node_2_3,39.125,161.573,39.129,161.573,2,"[{'lat': 39.125, 'lon': 161.573}, {'lat': 39.129, 'lon': 161.573}]"
